00VS               20080711                                                                                   
0601VSA0d       20080101001770100000010000 0000000000002669   
0601VSA0d       20080101001780100000010000 0000000000002675   
0601VSA0d       20080101001790100000010000 0000000000002680   
0601VSA0d       20080101001800100000010000 0000000000002686   
0601VSA0d       20080101001810100000010000 0000000000002690   
0601VSA0d       20080101001820100000010000 0000000000002696   
0601VSA0d       20080101001830100000010000 0000000000002701   
0601VSA0d       20080101001840100000010000 0000000000002705   
0601VSA0d       20080101001850100000010000 0000000000002710   
0601VSA0d       20080101001860100000010000 0000000000002716   
0601VSA0d       20080101001870100000010000 0000000000002721   
0601VSA0d       20080101001880100000010000 0000000000002725   
0601VSA0d       20080101001890100000010000 0000000000002730   
0601VSA0d       20080101001900100000010000 0000000000002735   
0601VSA0d       20080101001910100000010000 0000000000002740   
0601VSA0d       20080101001920100000010000 0000000000002744   
0601VSA0d       20080101001930100000010000 0000000000002749   
0601VSA0d       20080101001940100000010000 0000000000002754   
0601VSA0d       20080101001950100000010000 0000000000002759   
0601VSA0d       20080101001960100000010000 0000000000002762   
0601VSA0d       20080101001970100000010000 0000000000002767   
0601VSA0d       20080101001980100000010000 0000000000002772   
0601VSA0d       20080101001990100000010000 0000000000002776   
0601VSA0d       20080101002000100000010000 0000000000002780   
0601VSA0d       20080101002010100000010000 0000000000002785   
0601VSA0d       20080101002020100000010000 0000000000002790   
0601VSA0d       20080101002030100000010000 0000000000002794   
0601VSA0d       20080101002040100000010000 0000000000002798   
0601VSA0d       20080101002050100000010000 0000000000002803   
0601VSA0d       20080101002060100000010000 0000000000002807   
0601VSA0d       20080101002070100000010000 0000000000002811   
0601VSA0d       20080101002080100000010000 0000000000002815   
0601VSA0d       20080101002090100000010000 0000000000002819   
0601VSA0d       20080101002100100000010000 0000000000002824   
0601VSA0d       20080101002110100000010000 0000000000002827   
0601VSA0d       20080101002120100000010000 0000000000002831   
0601VSA0d       20080101002130100000010000 0000000000002836   
0601VSA0d       20080101002140100000010000 0000000000002840   
0601VSA0d       20080101002150100000010000 0000000000002843   
0601VSA0d       20080101002160100000010000 0000000000002847   
0601VSA0d       20080101002170100000010000 0000000000002852   
0601VSA0d       20080101002180100000010000 0000000000002855   
0601VSA0d       20080101002190100000010000 0000000000002859   
0601VSA0d       20080101002200100000010000 0000000000002863   
0601VSA0d       20080101002210100000010000 0000000000002867   
0601VSA0d       20080101002220100000010000 0000000000002871   
0601VSA0d       20080101002230100000010000 0000000000002874   
0601VSA0d       20080101002240100000010000 0000000000002878   
0601VSA0d       20080101002250100000010000 0000000000002883   
0601VSA0d       20080101002260100000010000 0000000000002886   
0601VSA0d       20080101002270100000010000 0000000000002889   
0601VSA0d       20080101002280100000010000 0000000000002893   
0601VSA0d       20080101002290100000010000 0000000000002897   
0601VSA0d       20080101002300100000010000 0000000000002900   
0601VSA0d       20080101002310100000010000 0000000000002904   
0601VSA0d       20080101002320100000010000 0000000000002908   
0601VSA0d       20080101002330100000010000 0000000000002911   
0601VSA0d       20080101002340100000010000 0000000000002914   
0601VSA0d       20080101002350100000010000 0000000000002918   
0601VSA0d       20080101002360100000010000 0000000000002922   
0601VSA0d       20080101002370100000010000 0000000000002925   
0601VSA0d       20080101002380100000010000 0000000000002928   
0601VSA0d       20080101002390100000010000 0000000000002932   
0601VSA0d       20080101002400100000010000 0000000000002936   
