00VD               20071108                                                                                   
0601VDA0+       20080101001095100000005000 0000022000502009   
0601VDA0+       20080101001100100000005000 0000022189002017   
0601VDA0+       20080101001105100000005000 0000022345102022   
0601VDA0+       20080101001110100000005000 0000022501702027   
0601VDA0+       20080101001115100000005000 0000022692202035   
0601VDA0+       20080101001120100000005000 0000022850002040   
0601VDA0+       20080101001125100000005000 0000023042002048   
0601VDA0+       20080101001130100000005000 0000023200902053   
0601VDA0+       20080101001135100000005000 0000023360302058   
0601VDA0+       20080101001140100000005000 0000023543002065   
0601VDA0+       20080101001145100000005000 0000023703502070   
0601VDA0+       20080101001150100000005000 0000023853002074   
0601VDA0+       20080101001155100000005000 0000024049102082   
0601VDA0+       20080101001160100000005000 0000024199602086   
0601VDA0+       20080101001165100000005000 0000024362202091   
0601VDA0+       20080101001170100000005000 0000024548602098   
0601VDA0+       20080101001175100000005000 0000024700602102   
0601VDA0+       20080101001180100000005000 0000024900102110   
0601VDA0+       20080101001185100000005000 0000025053002114   
0601VDA0+       20080101001190100000005000 0000025206302118   
0601VDA0+       20080101001195100000005000 0000025395802125   
0601VDA0+       20080101001200100000005000 0000025550102129   
0601VDA0+       20080101001205100000005000 0000025716802134   
0601VDA0+       20080101001210100000005000 0000025896102140   
0601VDA0+       20080101001215100000005000 0000026051702144   
0601VDA0+       20080101001220100000005000 0000026219902149   
0601VDA0+       20080101001225100000005000 0000026400902155   
0601VDA0+       20080101001230100000005000 0000026557802159   
0601VDA0+       20080101001235100000005000 0000026752202166   
0601VDA0+       20080101001240100000005000 0000026910102170   
0601VDA0+       20080101001245100000005000 0000027068402174   
0601VDA0+       20080101001250100000005000 0000027252102180   
0601VDA0+       20080101001255100000005000 0000027411302184   
0601VDA0+       20080101001260100000005000 0000027570902188   
0601VDA0+       20080101001265100000005000 0000027768902195   
0601VDA0+       20080101001270100000005000 0000027929402199   
0601VDA0+       20080101001275100000005000 0000028128702206   
0601VDA0+       20080101001280100000005000 0000028290202210   
0601VDA0+       20080101001285100000005000 0000028452102214   
0601VDA0+       20080101001290100000005000 0000028666002222   
0601VDA0+       20080101001295100000005000 0000028828902226   
0601VDA0+       20080101001300100000005000 0000029005202231   
0601VDA0+       20080101001305100000005000 0000029208102238   
0601VDA0+       20080101001310100000005000 0000029385502243   
0601VDA0+       20080101001315100000005000 0000029550202247   
0601VDA0+       20080101001320100000005000 0000029755002254   
0601VDA0+       20080101001325100000005000 0000029920702258   
0601VDA0+       20080101001330100000005000 0000030126702265   
0601VDA0+       20080101001335100000005000 0000030306702270   
0601VDA0+       20080101001340100000005000 0000030473802274   
0601VDA0+       20080101001345100000005000 0000030681702281   
0601VDA0+       20080101001350100000005000 0000030849702285   
0601VDA0+       20080101001355100000005000 0000031018202289   
0601VDA0+       20080101001360100000005000 0000031227802296   
0601VDA0+       20080101001365100000005000 0000031397302300   
0601VDA0+       20080101001370100000005000 0000031608202307   
0601VDA0+       20080101001375100000005000 0000031778502311   
