00SH               20081219                                                                                   
0601SHA0d       20090101001010100000005000 0000017400001719   
0601SHA0d       20090101001015100000005000 0000017540001724   
0601SHA0d       20090101001020100000005000 0000017670001728   
0601SHA0d       20090101001025100000005000 0000017810001733   
0601SHA0d       20090101001030100000005000 0000017940001738   
0601SHA0d       20090101001035100000005000 0000018070001742   
0601SHA0d       20090101001040100000005000 0000018210001747   
0601SHA0d       20090101001045100000005000 0000018340001751   
0601SHA0d       20090101001050100000005000 0000018480001756   
0601SHA0d       20090101001055100000005000 0000018610001760   
0601SHA0d       20090101001060100000005000 0000018750001765   
0601SHA0d       20090101001065100000005000 0000018900001770   
0601SHA0d       20090101001070100000005000 0000019040001775   
0601SHA0d       20090101001075100000005000 0000019180001780   
0601SHA0d       20090101001080100000005000 0000019310001784   
0601SHA0d       20090101001085100000005000 0000019460001789   
0601SHA0d       20090101001090100000005000 0000019610001795   
0601SHA0d       20090101001095100000005000 0000019740001799   
0601SHA0d       20090101001100100000005000 0000019880001803   
0601SHA0d       20090101001105100000005000 0000020020001808   
0601SHA0d       20090101001110100000005000 0000020150001811   
0601SHA0d       20090101001115100000005000 0000020310001817   
0601SHA0d       20090101001120100000005000 0000020450001822   
0601SHA0d       20090101001125100000005000 0000020610001828   
0601SHA0d       20090101001130100000005000 0000020740001831   
0601SHA0d       20090101001135100000005000 0000020870001835   
0601SHA0d       20090101001140100000005000 0000021030001841   
0601SHA0d       20090101001145100000005000 0000021170001845   
0601SHA0d       20090101001150100000005000 0000021300001848   
0601SHA0d       20090101001155100000005000 0000021460001854   
0601SHA0d       20090101001160100000005000 0000021600001858   
0601SHA0d       20090101001165100000005000 0000021730001861   
0601SHA0d       20090101001170100000005000 0000021890001867   
0601SHA0d       20090101001175100000005000 0000022030001871   
0601SHA0d       20090101001180100000005000 0000022190001877   
0601SHA0d       20090101001185100000005000 0000022320001880   
0601SHA0d       20090101001190100000005000 0000022450001883   
0601SHA0d       20090101001195100000005000 0000022610001888   
0601SHA0d       20090101001200100000005000 0000022750001892   
0601SHA0d       20090101001205100000005000 0000022880001895   
0601SHA0d       20090101001210100000005000 0000023040001900   
0601SHA0d       20090101001215100000005000 0000023180001904   
0601SHA0d       20090101001220100000005000 0000023310001907   
0601SHA0d       20090101001225100000005000 0000023470001912   
0601SHA0d       20090101001230100000005000 0000023600001915   
0601SHA0d       20090101001235100000005000 0000023770001921   
0601SHA0d       20090101001240100000005000 0000023900001924   
0601SHA0d       20090101001245100000005000 0000024030001926   
0601SHA0d       20090101001250100000005000 0000024190001931   
0601SHA0d       20090101001255100000005000 0000024330001935   
0601SHA0d       20090101001260100000005000 0000024460001937   
0601SHA0d       20090101001265100000005000 0000024620001942   
0601SHA0d       20090101001270100000005000 0000024760001946   
0601SHA0d       20090101001275100000005000 0000024920001951   
0601SHA0d       20090101001280100000005000 0000025050001953   
0601SHA0d       20090101001285100000005000 0000025190001957   
0601SHA0d       20090101001290100000005000 0000025360001962   
0601SHA0d       20090101001295100000005000 0000025500001965   
0601SHA0d       20090101001300100000005000 0000025650001969   
0601SHA0d       20090101001305100000005000 0000025820001975   
0601SHA0d       20090101001310100000005000 0000025960001978   
0601SHA0d       20090101001315100000005000 0000026100001981   
0601SHA0d       20090101001320100000005000 0000026280001987   
0601SHA0d       20090101001325100000005000 0000026420001990   
0601SHA0d       20090101001330100000005000 0000026590001995   
0601SHA0d       20090101001335100000005000 0000026730001999   
0601SHA0d       20090101001340100000005000 0000026880002002   
0601SHA0d       20090101001345100000005000 0000027060002008   
0601SHA0d       20090101001350100000005000 0000027210002012   
0601SHA0d       20090101001355100000005000 0000027370002016   
0601SHA0d       20090101001360100000005000 0000027550002022   
0601SHA0d       20090101001365100000005000 0000027700002026   
0601SHA0d       20090101001370100000005000 0000027880002031   
0601SHA0d       20090101001375100000005000 0000028030002035   
0601SHA0d       20090101001380100000005000 0000028190002039   
0601SHA0d       20090101001385100000005000 0000028370002045   
0601SHA0d       20090101001390100000005000 0000028520002048   
0601SHA0d       20090101001395100000005000 0000028670002052   
0601SHA0d       20090101001400100000005000 0000028850002057   
0601SHA0d       20090101001405100000005000 0000029010002061   
0601SHA0d       20090101001410100000005000 0000029160002064   
0601SHA0d       20090101001415100000005000 0000029340002070   
0601SHA0d       20090101001420100000005000 0000029490002073   
0601SHA0d       20090101001425100000005000 0000029670002078   
0601SHA0d       20090101001430100000005000 0000029830002082   
0601SHA0d       20090101001435100000005000 0000029980002086   
0601SHA0d       20090101001440100000005000 0000030160002091   
0601SHA0d       20090101001445100000005000 0000030310002094   
0601SHA0d       20090101001450100000005000 0000030460002097   
0601SHA0d       20090101001455100000005000 0000030650002103   
0601SHA0d       20090101001460100000005000 0000030800002106   
0601SHA0d       20090101001465100000005000 0000030950002109   
0601SHA0d       20090101001470100000005000 0000031130002114   
0601SHA0d       20090101001475100000005000 0000031280002117   
0601SHA0d       20090101001480100000005000 0000031470002123   
0601SHA0d       20090101001485100000005000 0000031620002126   
0601SHA0d       20090101001490100000005000 0000031770002129   
0601SHA0d       20090101001495100000005000 0000031950002134   
0601SHA0d       20090101001500100000005000 0000032110002137   
0601SHA0d       20090101001505100000005000 0000032260002140   
0601SHA0d       20090101001510100000005000 0000032440002145   
0601SHA0d       20090101001515100000005000 0000032590002148   
0601SHA0d       20090101001520100000005000 0000032770002152   
0601SHA0d       20090101001525100000005000 0000032930002156   
0601SHA0d       20090101001530100000005000 0000033080002159   
0601SHA0d       20090101001535100000005000 0000033260002163   
0601SHA0d       20090101001540100000005000 0000033410002166   
0601SHA0d       20090101001545100000005000 0000033560002169   
0601SHA0d       20090101001550100000005000 0000033750002174   
0601SHA0d       20090101001555100000005000 0000033900002177   
0601SHA0d       20090101001560100000005000 0000034050002179   
0601SHA0d       20090101001565100000005000 0000034230002184   
0601SHA0d       20090101001570100000005000 0000034380002186   
0601SHA0d       20090101001575100000005000 0000034570002191   
0601SHA0d       20090101001580100000005000 0000034720002194   
0601SHA0d       20090101001585100000005000 0000034870002197   
0601SHA0d       20090101001590100000005000 0000035050002201   
0601SHA0d       20090101001595100000005000 0000035200002203   
0601SHA0d       20090101001600100000005000 0000035350002206   
0601SHA0d       20090101001605100000005000 0000035540002211   
0601SHA0d       20090101001610100000005000 0000035690002213   
0601SHA0d       20090101001615100000005000 0000035840002216   
0601SHA0d       20090101001620100000005000 0000036020002220   
0601SHA0d       20090101001625100000005000 0000036180002223   
0601SHA0d       20090101001630100000005000 0000036360002227   
0601SHA0d       20090101001635100000005000 0000036510002230   
0601SHA0d       20090101001640100000005000 0000036660002232   
0601SHA0d       20090101001645100000005000 0000036840002236   
0601SHA0d       20090101001650100000005000 0000037000002239   
0601SHA0d       20090101001655100000005000 0000037160002242   
0601SHA0d       20090101001660100000005000 0000037360002247   
0601SHA0d       20090101001665100000005000 0000037520002250   
0601SHA0d       20090101001670100000005000 0000037710002255   
0601SHA0d       20090101001675100000005000 0000037870002258   
0601SHA0d       20090101001680100000005000 0000038030002260   
0601SHA0d       20090101001685100000005000 0000038220002265   
0601SHA0d       20090101001690100000005000 0000038390002268   
0601SHA0d       20090101001695100000005000 0000038550002271   
0601SHA0d       20090101001700100000005000 0000038740002275   
0601SHA0d       20090101001705100000005000 0000038900002278   
0601SHA0d       20090101001710100000005000 0000039060002281   
0601SHA0d       20090101001715100000005000 0000039260002286   
0601SHA0d       20090101001720100000005000 0000039420002289   
0601SHA0d       20090101001725100000005000 0000039610002293   
