00BS               20080912                                                                                   
0601BSA0d       20090101012200100000100000 0000000000003266   
0601BSA0d       20090101012300100000100000 0000000000003266   
0601BSA0d       20090101012400100000100000 0000000000003267   
0601BSA0d       20090101012500100000100000 0000000000003268   
0601BSA0d       20090101012600100000100000 0000000000003269   
0601BSA0d       20090101012700100000100000 0000000000003269   
0601BSA0d       20090101012800100000100000 0000000000003270   
0601BSA0d       20090101012900100000100000 0000000000003271   
0601BSA0d       20090101013000100000100000 0000000000003271   
0601BSA0d       20090101013100100000100000 0000000000003272   
0601BSA0d       20090101013200100000100000 0000000000003272   
0601BSA0d       20090101013300100000100000 0000000000003273   
0601BSA0d       20090101013400100000100000 0000000000003274   
0601BSA0d       20090101013500100000100000 0000000000003274   
0601BSA0d       20090101013600100000100000 0000000000003275   
0601BSA0d       20090101013700100000100000 0000000000003276   
0601BSA0d       20090101013800100000100000 0000000000003276   
0601BSA0d       20090101013900100000100000 0000000000003276   
0601BSA0d       20090101014000100000100000 0000000000003277   
0601BSA0d       20090101014100100000100000 0000000000003278   
0601BSA0d       20090101014200100000100000 0000000000003278   
0601BSA0d       20090101014300100000100000 0000000000003279   
0601BSA0d       20090101014400100000100000 0000000000003279   
0601BSA0d       20090101014500100000100000 0000000000003280   
0601BSA0d       20090101014600100000100000 0000000000003280   
0601BSA0d       20090101014700100000100000 0000000000003281   
0601BSA0d       20090101014800100000100000 0000000000003281   
0601BSA0d       20090101014900100000100000 0000000000003282   
0601BSA0d       20090101015000100000100000 0000000000003282   
0601BSA0d       20090101015100100000100000 0000000000003283   
0601BSA0d       20090101015200100000100000 0000000000003283   
0601BSA0d       20090101015300100000100000 0000000000003284   
0601BSA0d       20090101015400100000100000 0000000000003284   
0601BSA0d       20090101015500100000100000 0000000000003285   
0601BSA0d       20090101015600100000100000 0000000000003285   
0601BSA0d       20090101015700100000100000 0000000000003285   
0601BSA0d       20090101015800100000100000 0000000000003286   
0601BSA0d       20090101015900100000100000 0000000000003286   
0601BSA0d       20090101016000100000100000 0000000000003287   
0601BSA0d       20090101016100100000100000 0000000000003287   
0601BSA0d       20090101016200100000100000 0000000000003288   
0601BSA0d       20090101016300100000100000 0000000000003288   
0601BSA0d       20090101016400100000100000 0000000000003288   
0601BSA0d       20090101016500100000100000 0000000000003289   
0601BSA0d       20090101016600100000100000 0000000000003289   
0601BSA0d       20090101016700100000100000 0000000000003290   
0601BSA0d       20090101016800100000100000 0000000000003290   
0601BSA0d       20090101016900100000100000 0000000000003290   
0601BSA0d       20090101017000100000100000 0000000000003291   
0601BSA0d       20090101017100100000100000 0000000000003291   
0601BSA0d       20090101017200100000100000 0000000000003291   
0601BSA0d       20090101017300100000100000 0000000000003292   
0601BSA0d       20090101017400100000100000 0000000000003292   
0601BSA0d       20090101017500100000100000 0000000000003292   
0601BSA0d       20090101017600100000100000 0000000000003293   
0601BSA0d       20090101017700100000100000 0000000000003293   
0601BSA0d       20090101017800100000100000 0000000000003293   
0601BSA0d       20090101017900100000100000 0000000000003294   
0601BSA0d       20090101018000100000100000 0000000000003294   
0601BSA0d       20090101018100100000100000 0000000000003294   
0601BSA0d       20090101018200100000100000 0000000000003295   
0601BSA0d       20090101018300100000100000 0000000000003295   
0601BSA0d       20090101018400100000100000 0000000000003295   
0601BSA0d       20090101018500100000100000 0000000000003296   
0601BSA0d       20090101018600100000100000 0000000000003296   
0601BSA0d       20090101018700100000100000 0000000000003297   
0601BSA0d       20090101018800100000100000 0000000000003297   
0601BSA0d       20090101018900100000100000 0000000000003297   
0601BSA0d       20090101019000100000100000 0000000000003297   
0601BSA0d       20090101019100100000100000 0000000000003298   
0601BSA0d       20090101019200100000100000 0000000000003298   
0601BSA0d       20090101019300100000100000 0000000000003298   
0601BSA0d       20090101019400100000100000 0000000000003299   
0601BSA0d       20090101019500100000100000 0000000000003299   
0601BSA0d       20090101019600100000100000 0000000000003299   
0601BSA0d       20090101019700100000100000 0000000000003299   
0601BSA0d       20090101019800100000100000 0000000000003300   
0601BSA0d       20090101019900100000100000 0000000000003300   
0601BSA0d       20090101020000100001000000 0000000000003301   
0601BSA0d       20090101021000100001000000 0000000000003304   
0601BSA0d       20090101022000100001000000 0000000000003306   
0601BSA0d       20090101023000100001000000 0000000000003308   
0601BSA0d       20090101024000100001000000 0000000000003310   
0601BSA0d       20090101025000100001000000 0000000000003312   
0601BSA0d       20090101026000100001000000 0000000000003313   
0601BSA0d       20090101027000100001000000 0000000000003315   
0601BSA0d       20090101028000100001000000 0000000000003316   
0601BSA0d       20090101029000100001000000 0000000000003318   
0601BSA0d       20090101030000100001000000 0000000000003319   
0601BSA0d       20090101031000100001000000 0000000000003320   
0601BSA0d       20090101032000100001000000 0000000000003321   
0601BSA0d       20090101033000100001000000 0000000000003322   
0601BSA0d       20090101034000100001000000 0000000000003323   
0601BSA0d       20090101035000100001000000 0000000000003324   
0601BSA0d       20090101036000100001000000 0000000000003325   
0601BSA0d       20090101037000100001000000 0000000000003325   
0601BSA0d       20090101038000100001000000 0000000000003326   
0601BSA0d       20090101039000100001000000 0000000000003327   
0601BSA0d       20090101040000100001000000 0000000000003328   
0601BSA0d       20090101041000100001000000 0000000000003328   
0601BSA0d       20090101042000100001000000 0000000000003329   
0601BSA0d       20090101043000100001000000 0000000000003329   
0601BSA0d       20090101044000100001000000 0000000000003330   
0601BSA0d       20090101045000100001000000 0000000000003331   
0601BSA0d       20090101046000100001000000 0000000000003331   
0601BSA0d       20090101047000100001000000 0000000000003332   
0601BSA0d       20090101048000100001000000 0000000000003332   
0601BSA0d       20090101049000100001000000 0000000000003332   
0601BSA0d       20090101050000100001000000 0000000000003333   
0601BSA0d       20090101051000100001000000 0000000000003333   
0601BSA0d       20090101052000100001000000 0000000000003334   
0601BSA0d       20090101053000100001000000 0000000000003334   
0601BSA0d       20090101054000100001000000 0000000000003334   
0601BSA0d       20090101055000100001000000 0000000000003335   
0601BSA0d       20090101056000100001000000 0000000000003335   
0601BSA0d       20090101057000100001000000 0000000000003336   
0601BSA0d       20090101058000100001000000 0000000000003336   
0601BSA0d       20090101059000100001000000 0000000000003336   
0601BSA0d       20090101060000100010000000 0000000000003338   
0601BSA0d       20090101070000100010000000 0000000000003340   
0601BSA0d       20090101080000100010000000 0000000000003342   
0601BSA0d       20090101090000100010000000 0000000000003343   
0601BSA0d       20090101100000100010000000 0000000000003344   
0601BSA1d       20090101000000100000110000 0100000000000000   
0601BSA1d       20090101000110100000010000 0100000000000000   
0601BSA1d       20090101000120100000010000 0100000000000000   
0601BSA1d       20090101000130100000010000 0100000000000000   
0601BSA1d       20090101000140100000010000 0100000000000000   
0601BSA1d       20090101000150100000010000 0100000000000000   
0601BSA1d       20090101000160100000010000 0100000000000000   
0601BSA1d       20090101000170100000010000 0100000000000000   
0601BSA1d       20090101000180100000010000 0100000000000000   
0601BSA1d       20090101000190100000010000 0100000000000000   
0601BSA1d       20090101000200100000010000 0100000000000000   
0601BSA1d       20090101000210100000010000 0100000000000000   
0601BSA1d       20090101000220100000010000 0100000000000000   
0601BSA1d       20090101000230100000010000 0100000000000000   
0601BSA1d       20090101000240100000010000 0100000000000000   
0601BSA1d       20090101000250100000010000 0100000000000000   
0601BSA1d       20090101000260100000010000 0100000000000000   
0601BSA1d       20090101000270100000010000 0100000000000000   
0601BSA1d       20090101000280100000010000 0100000000000000   
0601BSA1d       20090101000290100000010000 0100000000000008   
0601BSA1d       20090101000300100000010000 0100000000000010   
0601BSA1d       20090101000310100000010000 0100000000000012   
0601BSA1d       20090101000320100000010000 0100000000000013   
0601BSA1d       20090101000330100000010000 0100000000000015   
0601BSA1d       20090101000340100000010000 0100000000000016   
0601BSA1d       20090101000350100000010000 0100000000000018   
0601BSA1d       20090101000360100000010000 0100000000000019   
0601BSA1d       20090101000370100000010000 0100000000000020   
0601BSA1d       20090101000380100000010000 0100000000000021   
0601BSA1d       20090101000390100000010000 0100000000000022   
0601BSA1d       20090101000400100000010000 0100000000000057   
0601BSA1d       20090101000410100000010000 0100000000000104   
0601BSA1d       20090101000420100000010000 0100000000000150   
0601BSA1d       20090101000430100000010000 0100000000000198   
0601BSA1d       20090101000440100000010000 0100000000000239   
0601BSA1d       20090101000450100000010000 0100000000000283   
0601BSA1d       20090101000460100000010000 0100000000000320   
0601BSA1d       20090101000470100000010000 0100000000000360   
0601BSA1d       20090101000480100000010000 0100000000000395   
0601BSA1d       20090101000490100000010000 0100000000000432   
0601BSA1d       20090101000500100000010000 0100000000000464   
0601BSA1d       20090101000510100000010000 0100000000000496   
0601BSA1d       20090101000520100000010000 0100000000000532   
0601BSA1d       20090101000530100000010000 0100000000000563   
0601BSA1d       20090101000540100000010000 0100000000000608   
0601BSA1d       20090101000550100000010000 0100000000000637   
0601BSA1d       20090101000560100000010000 0100000000000669   
0601BSA1d       20090101000570100000010000 0100000000000696   
0601BSA1d       20090101000580100000010000 0100000000000725   
