00OW               20081103                                                                                   
0601OWA0d       20090101001065100000005000 0000013480001263   
0601OWA0d       20090101001070100000005000 0000013570001265   
0601OWA0d       20090101001075100000005000 0000013670001269   
0601OWA0d       20090101001080100000005000 0000013760001271   
0601OWA0d       20090101001085100000005000 0000013870001275   
0601OWA0d       20090101001090100000005000 0000013960001278   
0601OWA0d       20090101001095100000005000 0000014060001281   
0601OWA0d       20090101001100100000005000 0000014160001284   
0601OWA0d       20090101001105100000005000 0000014250001287   
0601OWA0d       20090101001110100000005000 0000014340001289   
0601OWA0d       20090101001115100000005000 0000014450001293   
0601OWA0d       20090101001120100000005000 0000014540001295   
0601OWA0d       20090101001125100000005000 0000014650001299   
0601OWA0d       20090101001130100000005000 0000014740001302   
0601OWA0d       20090101001135100000005000 0000014830001304   
0601OWA0d       20090101001140100000005000 0000014940001308   
0601OWA0d       20090101001145100000005000 0000015030001310   
0601OWA0d       20090101001150100000005000 0000015120001312   
0601OWA0d       20090101001155100000005000 0000015230001316   
0601OWA0d       20090101001160100000005000 0000015320001318   
0601OWA0d       20090101001165100000005000 0000015410001320   
0601OWA0d       20090101001170100000005000 0000015520001324   
0601OWA0d       20090101001175100000005000 0000015610001326   
0601OWA0d       20090101001180100000005000 0000015720001329   
0601OWA0d       20090101001185100000005000 0000015810001331   
0601OWA0d       20090101001190100000005000 0000015900001333   
0601OWA0d       20090101001195100000005000 0000016010001337   
0601OWA0d       20090101001200100000005000 0000016100001339   
0601OWA0d       20090101001205100000005000 0000016190001341   
0601OWA0d       20090101001210100000005000 0000016300001344   
0601OWA0d       20090101001215100000005000 0000016390001346   
0601OWA0d       20090101001220100000005000 0000016480001348   
0601OWA0d       20090101001225100000005000 0000016590001352   
0601OWA0d       20090101001230100000005000 0000016680001353   
0601OWA0d       20090101001235100000005000 0000016790001357   
0601OWA0d       20090101001240100000005000 0000016880001359   
0601OWA0d       20090101001245100000005000 0000016970001360   
0601OWA0d       20090101001250100000005000 0000017080001364   
0601OWA0d       20090101001255100000005000 0000017170001365   
0601OWA0d       20090101001260100000005000 0000017260001367   
0601OWA0d       20090101001265100000005000 0000017370001370   
0601OWA0d       20090101001270100000005000 0000017460001372   
0601OWA0d       20090101001275100000005000 0000017570001375   
0601OWA0d       20090101001280100000005000 0000017660001377   
0601OWA0d       20090101001285100000005000 0000017750001379   
0601OWA0d       20090101001290100000005000 0000017870001383   
0601OWA0d       20090101001295100000005000 0000017970001385   
0601OWA0d       20090101001300100000005000 0000018070001387   
0601OWA0d       20090101001305100000005000 0000018190001391   
0601OWA0d       20090101001310100000005000 0000018290001394   
0601OWA0d       20090101001315100000005000 0000018390001396   
0601OWA0d       20090101001320100000005000 0000018510001400   
0601OWA0d       20090101001325100000005000 0000018610001402   
0601OWA0d       20090101001330100000005000 0000018730001406   
0601OWA0d       20090101001335100000005000 0000018830001408   
0601OWA0d       20090101001340100000005000 0000018930001410   
0601OWA0d       20090101001345100000005000 0000019040001413   
0601OWA0d       20090101001350100000005000 0000019140001415   
0601OWA0d       20090101001355100000005000 0000019240001417   
0601OWA0d       20090101001360100000005000 0000019360001421   
0601OWA0d       20090101001365100000005000 0000019460001423   
0601OWA0d       20090101001370100000005000 0000019580001427   
0601OWA0d       20090101001375100000005000 0000019680001429   
0601OWA0d       20090101001380100000005000 0000019780001431   
0601OWA0d       20090101001385100000005000 0000019900001434   
0601OWA0d       20090101001390100000005000 0000020000001436   
0601OWA0d       20090101001395100000005000 0000020100001438   
0601OWA0d       20090101001400100000005000 0000020220001442   
