00TI               20081223                                                                                   
0601TIA0d       20090101000875100000005000 0000000000001430   
0601TIA0d       20090101000880100000005000 0000000000001430   
0601TIA0d       20090101000885100000005000 0000000000001440   
0601TIA0d       20090101000890100000005000 0000000000001440   
0601TIA0d       20090101000895100000005000 0000000000001450   
0601TIA0d       20090101000900100000005000 0000000000001450   
0601TIA0d       20090101000905100000005000 0000000000001460   
0601TIA0d       20090101000910100000005000 0000000000001460   
0601TIA0d       20090101000915100000005000 0000000000001470   
0601TIA0d       20090101000920100000005000 0000000000001470   
0601TIA0d       20090101000925100000005000 0000000000001480   
0601TIA0d       20090101000930100000005000 0000000000001490   
0601TIA0d       20090101000935100000005000 0000000000001490   
0601TIA0d       20090101000940100000005000 0000000000001500   
0601TIA0d       20090101000945100000005000 0000000000001500   
0601TIA0d       20090101000950100000005000 0000000000001510   
0601TIA0d       20090101000955100000005000 0000000000001510   
0601TIA0d       20090101000960100000005000 0000000000001520   
0601TIA0d       20090101000965100000005000 0000000000001520   
0601TIA0d       20090101000970100000005000 0000000000001530   
0601TIA0d       20090101000975100000005000 0000000000001530   
0601TIA0d       20090101000980100000005000 0000000000001540   
0601TIA0d       20090101000985100000005000 0000000000001540   
0601TIA0d       20090101000990100000005000 0000000000001550   
0601TIA0d       20090101000995100000005000 0000000000001550   
0601TIA0d       20090101001000100000005000 0000000000001560   
0601TIA0d       20090101001005100000005000 0000000000001560   
0601TIA0d       20090101001010100000005000 0000000000001570   
0601TIA0d       20090101001015100000005000 0000000000001570   
0601TIA0d       20090101001020100000005000 0000000000001580   
0601TIA0d       20090101001025100000005000 0000000000001580   
0601TIA0d       20090101001030100000005000 0000000000001590   
0601TIA0d       20090101001035100000005000 0000000000001590   
0601TIA0d       20090101001040100000005000 0000000000001600   
0601TIA0d       20090101001045100000005000 0000000000001600   
0601TIA0d       20090101001050100000005000 0000000000001610   
0601TIA0d       20090101001055100000005000 0000000000001610   
0601TIA0d       20090101001060100000005000 0000000000001620   
0601TIA0d       20090101001065100000005000 0000000000001620   
0601TIA0d       20090101001070100000005000 0000000000001630   
0601TIA0d       20090101001075100000005000 0000000000001640   
0601TIA0d       20090101001080100000005000 0000000000001640   
0601TIA0d       20090101001085100000005000 0000000000001650   
0601TIA0d       20090101001090100000005000 0000000000001650   
0601TIA0d       20090101001095100000005000 0000000000001650   
0601TIA0d       20090101001100100000005000 0000000000001660   
0601TIA0d       20090101001105100000005000 0000000000001670   
0601TIA0d       20090101001110100000005000 0000000000001670   
0601TIA0d       20090101001115100000005000 0000000000001680   
0601TIA0d       20090101001120100000005000 0000000000001680   
0601TIA0d       20090101001125100000005000 0000000000001690   
0601TIA0d       20090101001130100000005000 0000000000001690   
0601TIA0d       20090101001135100000005000 0000000000001700   
0601TIA0d       20090101001140100000005000 0000000000001700   
0601TIA0d       20090101001145100000005000 0000000000001710   
0601TIA0d       20090101001150100000005000 0000000000001710   
0601TIA0d       20090101001155100000005000 0000000000001720   
0601TIA0d       20090101001160100000005000 0000000000001720   
0601TIA0d       20090101001165100000005000 0000000000001730   
0601TIA0d       20090101001170100000005000 0000000000001730   
0601TIA0d       20090101001175100000005000 0000000000001740   
0601TIA0d       20090101001180100000005000 0000000000001740   
0601TIA0d       20090101001185100000005000 0000000000001750   
0601TIA0d       20090101001190100000005000 0000000000001750   
0601TIA0d       20090101001195100000005000 0000000000001760   
0601TIA0d       20090101001200100000005000 0000000000001760   
0601TIA0d       20090101001205100000005000 0000000000001760   
0601TIA0d       20090101001210100000005000 0000000000001770   
0601TIA0d       20090101001215100000005000 0000000000001770   
0601TIA0d       20090101001220100000005000 0000000000001780   
0601TIA0d       20090101001225100000005000 0000000000001780   
0601TIA0d       20090101001230100000005000 0000000000001790   
0601TIA0d       20090101001235100000005000 0000000000001790   
0601TIA0d       20090101001240100000005000 0000000000001800   
0601TIA0d       20090101001245100000005000 0000000000001800   
0601TIA0d       20090101001250100000005000 0000000000001800   
0601TIA0d       20090101001255100000005000 0000000000001810   
0601TIA0d       20090101001260100000005000 0000000000001810   
0601TIA0d       20090101001265100000005000 0000000000001820   
0601TIA0d       20090101001270100000005000 0000000000001820   
0601TIA0d       20090101001275100000005000 0000000000001830   
0601TIA0d       20090101001280100000005000 0000000000001830   
0601TIA0d       20090101001285100000005000 0000000000001830   
0601TIA0d       20090101001290100000005000 0000000000001840   
0601TIA0d       20090101001295100000005000 0000000000001840   
0601TIA0d       20090101001300100000005000 0000000000001850   
0601TIA0d       20090101001305100000005000 0000000000001850   
0601TIA0d       20090101001310100000005000 0000000000001860   
0601TIA0d       20090101001315100000005000 0000000000001860   
0601TIA0d       20090101001320100000005000 0000000000001870   
0601TIA0d       20090101001325100000005000 0000000000001870   
0601TIA0d       20090101001330100000005000 0000000000001880   
0601TIA0d       20090101001335100000005000 0000000000001880   
0601TIA0d       20090101001340100000005000 0000000000001880   
0601TIA0d       20090101001345100000005000 0000000000001890   
0601TIA0d       20090101001350100000005000 0000000000001890   
0601TIA0d       20090101001355100000005000 0000000000001900   
0601TIA0d       20090101001360100000005000 0000000000001900   
0601TIA0d       20090101001365100000005000 0000000000001910   
0601TIA0d       20090101001370100000005000 0000000000001910   
0601TIA0d       20090101001375100000005000 0000000000001920   
0601TIA0d       20090101001380100000005000 0000000000001920   
0601TIA0d       20090101001385100000005000 0000000000001920   
0601TIA0d       20090101001390100000005000 0000000000001930   
0601TIA0d       20090101001395100000005000 0000000000001930   
0601TIA0d       20090101001400100000005000 0000000000001940   
0601TIA0d       20090101001405100000005000 0000000000001940   
0601TIA0d       20090101001410100000005000 0000000000001940   
0601TIA0d       20090101001415100000005000 0000000000001950   
0601TIA0d       20090101001420100000005000 0000000000001950   
0601TIA0d       20090101001425100000005000 0000000000001960   
0601TIA0d       20090101001430100000005000 0000000000001960   
0601TIA0d       20090101001435100000005000 0000000000001960   
0601TIA0d       20090101001440100000005000 0000000000001970   
0601TIA0d       20090101001445100000005000 0000000000001970   
0601TIA0d       20090101001450100000005000 0000000000001970   
0601TIA0d       20090101001455100000005000 0000000000001980   
0601TIA0d       20090101001460100000005000 0000000000001980   
0601TIA0d       20090101001465100000005000 0000000000001980   
0601TIA0d       20090101001470100000005000 0000000000001990   
0601TIA0d       20090101001475100000005000 0000000000001990   
0601TIA0d       20090101001480100000005000 0000000000002000   
0601TIA0d       20090101001485100000005000 0000000000002000   
0601TIA0d       20090101001490100000005000 0000000000002000   
0601TIA0d       20090101001495100000005000 0000000000002010   
0601TIA0d       20090101001500100000005000 0000000000002010   
0601TIA0d       20090101001505100000005000 0000000000002010   
0601TIA0d       20090101001510100000005000 0000000000002020   
0601TIA0d       20090101001515100000005000 0000000000002020   
0601TIA0d       20090101001520100000005000 0000000000002020   
0601TIA0d       20090101001525100000005000 0000000000002030   
0601TIA0d       20090101001530100000005000 0000000000002030   
0601TIA0d       20090101001535100000005000 0000000000002030   
0601TIA0d       20090101001540100000005000 0000000000002040   
0601TIA0d       20090101001545100000005000 0000000000002040   
0601TIA0d       20090101001550100000005000 0000000000002040   
0601TIA0d       20090101001555100000005000 0000000000002050   
0601TIA0d       20090101001560100000005000 0000000000002050   
0601TIA0d       20090101001565100000005000 0000000000002050   
0601TIA0d       20090101001570100000005000 0000000000002060   
0601TIA0d       20090101001575100000005000 0000000000002060   
0601TIA0d       20090101001580100000005000 0000000000002060   
0601TIA0d       20090101001585100000005000 0000000000002070   
0601TIA0d       20090101001590100000005000 0000000000002070   
0601TIA0d       20090101001595100000005000 0000000000002070   
0601TIA0d       20090101001600100000005000 0000000000002080   
0601TIA0d       20090101001605100000005000 0000000000002080   
0601TIA0d       20090101001610100000005000 0000000000002080   
0601TIA0d       20090101001615100000005000 0000000000002090   
0601TIA0d       20090101001620100000005000 0000000000002090   
0601TIA0d       20090101001625100000005000 0000000000002090   
0601TIA0d       20090101001630100000005000 0000000000002100   
0601TIA0d       20090101001635100000005000 0000000000002100   
0601TIA0d       20090101001640100000005000 0000000000002100   
0601TIA0d       20090101001645100000005000 0000000000002100   
0601TIA0d       20090101001650100000005000 0000000000002110   
0601TIA0d       20090101001655100000005000 0000000000002110   
0601TIA0d       20090101001660100000005000 0000000000002110   
0601TIA0d       20090101001665100000005000 0000000000002120   
0601TIA0d       20090101001670100000005000 0000000000002120   
0601TIA0d       20090101001675100000005000 0000000000002120   
0601TIA0d       20090101001680100000005000 0000000000002130   
0601TIA0d       20090101001685100000005000 0000000000002130   
0601TIA0d       20090101001690100000005000 0000000000002130   
0601TIA0d       20090101001695100000005000 0000000000002140   
0601TIA0d       20090101001700100000005000 0000000000002140   
0601TIA0d       20090101001705100000005000 0000000000002140   
0601TIA0d       20090101001710100000005000 0000000000002150   
0601TIA0d       20090101001715100000005000 0000000000002150   
0601TIA0d       20090101001720100000005000 0000000000002150   
0601TIA0d       20090101001725100000005000 0000000000002160   
0601TIA0d       20090101001730100000005000 0000000000002160   
0601TIA0d       20090101001735100000005000 0000000000002160   
0601TIA0d       20090101001740100000005000 0000000000002170   
0601TIA0d       20090101001745100000005000 0000000000002170   
0601TIA0d       20090101001750100000005000 0000000000002170   
0601TIA0d       20090101001755100000005000 0000000000002180   
0601TIA0d       20090101001760100000005000 0000000000002180   
0601TIA0d       20090101001765100000005000 0000000000002180   
0601TIA0d       20090101001770100000005000 0000000000002190   
0601TIA0d       20090101001775100000005000 0000000000002190   
0601TIA0d       20090101001780100000005000 0000000000002190   
0601TIA0d       20090101001785100000005000 0000000000002200   
0601TIA0d       20090101001790100000005000 0000000000002200   
0601TIA0d       20090101001795100000005000 0000000000002200   
0601TIA0d       20090101001800100000005000 0000000000002200   
0601TIA0d       20090101001805100000005000 0000000000002210   
0601TIA0d       20090101001810100000005000 0000000000002210   
0601TIA0d       20090101001815100000005000 0000000000002210   
0601TIA0d       20090101001820100000005000 0000000000002220   
0601TIA0d       20090101001825100000005000 0000000000002220   
0601TIA0d       20090101001830100000005000 0000000000002220   
0601TIA0d       20090101001835100000005000 0000000000002230   
0601TIA0d       20090101001840100000005000 0000000000002230   
0601TIA0d       20090101001845100000005000 0000000000002230   
0601TIA0d       20090101001850100000005000 0000000000002240   
0601TIA0d       20090101001855100000005000 0000000000002240   
0601TIA0d       20090101001860100000005000 0000000000002240   
0601TIA0d       20090101001865100000005000 0000000000002240   
0601TIA0d       20090101001870100000005000 0000000000002250   
0601TIA0d       20090101001875100000005000 0000000000002250   
0601TIA0d       20090101001880100000005000 0000000000002250   
0601TIA0d       20090101001885100000005000 0000000000002250   
0601TIA0d       20090101001890100000005000 0000000000002260   
0601TIA0d       20090101001895100000005000 0000000000002260   
0601TIA0d       20090101001900100000005000 0000000000002260   
0601TIA0d       20090101001905100000005000 0000000000002270   
0601TIA0d       20090101001910100000005000 0000000000002270   
0601TIA0d       20090101001915100000005000 0000000000002270   
0601TIA0d       20090101001920100000005000 0000000000002270   
0601TIA0d       20090101001925100000005000 0000000000002280   
0601TIA0d       20090101001930100000005000 0000000000002280   
0601TIA0d       20090101001935100000005000 0000000000002280   
0601TIA0d       20090101001940100000005000 0000000000002280   
0601TIA0d       20090101001945100000005000 0000000000002290   
0601TIA0d       20090101001950100000005000 0000000000002290   
0601TIA0d       20090101001955100000005000 0000000000002290   
0601TIA0d       20090101001960100000005000 0000000000002300   
0601TIA0d       20090101001965100000005000 0000000000002300   
0601TIA0d       20090101001970100000005000 0000000000002300   
0601TIA0d       20090101001975100000005000 0000000000002300   
0601TIA0d       20090101001980100000005000 0000000000002310   
0601TIA0d       20090101001985100000005000 0000000000002310   
0601TIA0d       20090101001990100000005000 0000000000002310   
0601TIA0d       20090101001995100000005000 0000000000002310   
0601TIA0d       20090101002000100000005000 0000000000002320   
0601TIA0d       20090101002005100000005000 0000000000002320   
0601TIA0d       20090101002010100000005000 0000000000002320   
0601TIA0d       20090101002015100000005000 0000000000002320   
0601TIA0d       20090101002020100000005000 0000000000002330   
0601TIA0d       20090101002025100000005000 0000000000002330   
0601TIA0d       20090101002030100000005000 0000000000002330   
0601TIA0d       20090101002035100000005000 0000000000002330   
0601TIA0d       20090101002040100000005000 0000000000002340   
0601TIA0d       20090101002045100000005000 0000000000002340   
0601TIA0d       20090101002050100000005000 0000000000002340   
0601TIA0d       20090101002055100000005000 0000000000002340   
0601TIA0d       20090101002060100000005000 0000000000002350   
0601TIA0d       20090101002065100000005000 0000000000002350   
0601TIA0d       20090101002070100000005000 0000000000002350   
0601TIA0d       20090101002075100000005000 0000000000002350   
0601TIA0d       20090101002080100000005000 0000000000002360   
0601TIA0d       20090101002085100000005000 0000000000002360   
0601TIA0d       20090101002090100000005000 0000000000002360   
0601TIA0d       20090101002095100000005000 0000000000002360   
0601TIA0d       20090101002100100000005000 0000000000002360   
0601TIA0d       20090101002105100000005000 0000000000002370   
0601TIA0d       20090101002110100000005000 0000000000002370   
0601TIA0d       20090101002115100000005000 0000000000002370   
0601TIA0d       20090101002120100000005000 0000000000002370   
0601TIA0d       20090101002125100000005000 0000000000002380   
0601TIA0d       20090101002130100000005000 0000000000002380   
0601TIA0d       20090101002135100000005000 0000000000002380   
0601TIA0d       20090101002140100000005000 0000000000002380   
0601TIA0d       20090101002145100000005000 0000000000002390   
0601TIA0d       20090101002150100000005000 0000000000002390   
0601TIA0d       20090101002155100000005000 0000000000002390   
0601TIA0d       20090101002160100000005000 0000000000002390   
0601TIA0d       20090101002165100000005000 0000000000002400   
0601TIA0d       20090101002170100000005000 0000000000002400   
0601TIA0d       20090101002175100000005000 0000000000002400   
0601TIA0d       20090101002180100000005000 0000000000002400   
0601TIA0d       20090101002185100000005000 0000000000002410   
0601TIA0d       20090101002190100000005000 0000000000002410   
0601TIA0d       20090101002195100000005000 0000000000002410   
0601TIA0d       20090101002200100000005000 0000000000002410   
0601TIA0d       20090101002205100000005000 0000000000002420   
0601TIA0d       20090101002210100000005000 0000000000002420   
0601TIA0d       20090101002215100000005000 0000000000002420   
0601TIA0d       20090101002220100000005000 0000000000002420   
0601TIA0d       20090101002225100000005000 0000000000002430   
0601TIA0d       20090101002230100000005000 0000000000002430   
0601TIA0d       20090101002235100000005000 0000000000002430   
0601TIA0d       20090101002240100000005000 0000000000002430   
0601TIA0d       20090101002245100000005000 0000000000002440   
0601TIA0d       20090101002250100000005000 0000000000002440   
0601TIA0d       20090101002255100000005000 0000000000002440   
0601TIA0d       20090101002260100000005000 0000000000002440   
0601TIA0d       20090101002265100000005000 0000000000002440   
0601TIA0d       20090101002270100000005000 0000000000002450   
0601TIA0d       20090101002275100000005000 0000000000002450   
0601TIA0d       20090101002280100000005000 0000000000002450   
0601TIA0d       20090101002285100000005000 0000000000002450   
0601TIA0d       20090101002290100000005000 0000000000002460   
0601TIA0d       20090101002295100000005000 0000000000002460   
0601TIA0d       20090101002300100000005000 0000000000002460   
0601TIA0d       20090101002305100000005000 0000000000002460   
0601TIA0d       20090101002310100000005000 0000000000002460   
0601TIA0d       20090101002315100000005000 0000000000002470   
0601TIA0d       20090101002320100000005000 0000000000002470   
0601TIA0d       20090101002325100000005000 0000000000002470   
0601TIA0d       20090101002330100000005000 0000000000002470   
0601TIA0d       20090101002335100000005000 0000000000002470   
0601TIA0d       20090101002340100000005000 0000000000002480   
0601TIA0d       20090101002345100000005000 0000000000002480   
0601TIA0d       20090101002350100000005000 0000000000002480   
0601TIA0d       20090101002355100000005000 0000000000002480   
