00AR               20071130                                                                                   
0601ARA0d       20080101001250100000005000 0000021960001753   
0601ARA0d       20080101001255100000005000 0000022080001756   
0601ARA0d       20080101001260100000005000 0000022200001758   
0601ARA0d       20080101001265100000005000 0000022350001763   
0601ARA0d       20080101001270100000005000 0000022470001766   
0601ARA0d       20080101001275100000005000 0000022620001771   
0601ARA0d       20080101001280100000005000 0000022750001774   
0601ARA0d       20080101001285100000005000 0000022870001776   
0601ARA0d       20080101001290100000005000 0000023030001782   
0601ARA0d       20080101001295100000005000 0000023170001786   
0601ARA0d       20080101001300100000005000 0000023300001789   
0601ARA0d       20080101001305100000005000 0000023460001794   
0601ARA0d       20080101001310100000005000 0000023590001797   
0601ARA0d       20080101001315100000005000 0000023720001800   
0601ARA0d       20080101001320100000005000 0000023880001806   
0601ARA0d       20080101001325100000005000 0000024020001809   
0601ARA0d       20080101001330100000005000 0000024180001815   
0601ARA0d       20080101001335100000005000 0000024310001818   
0601ARA0d       20080101001340100000005000 0000024440001820   
0601ARA0d       20080101001345100000005000 0000024600001826   
0601ARA0d       20080101001350100000005000 0000024730001828   
0601ARA0d       20080101001355100000005000 0000024860001831   
0601ARA0d       20080101001360100000005000 0000025020001836   
0601ARA0d       20080101001365100000005000 0000025150001839   
0601ARA0d       20080101001370100000005000 0000025310001844   
0601ARA0d       20080101001375100000005000 0000025450001848   
0601ARA0d       20080101001380100000005000 0000025580001850   
0601ARA0d       20080101001385100000005000 0000025740001855   
0601ARA0d       20080101001390100000005000 0000025870001858   
0601ARA0d       20080101001395100000005000 0000026010001861   
0601ARA0d       20080101001400100000005000 0000026160001865   
0601ARA0d       20080101001405100000005000 0000026300001869   
0601ARA0d       20080101001410100000005000 0000026430001871   
0601ARA0d       20080101001415100000005000 0000026590001876   
0601ARA0d       20080101001420100000005000 0000026720001878   
0601ARA0d       20080101001425100000005000 0000026880001883   
0601ARA0d       20080101001430100000005000 0000027020001886   
0601ARA0d       20080101001435100000005000 0000027150001889   
0601ARA0d       20080101001440100000005000 0000027310001893   
0601ARA0d       20080101001445100000005000 0000027440001896   
0601ARA0d       20080101001450100000005000 0000027570001898   
0601ARA0d       20080101001455100000005000 0000027730001903   
0601ARA0d       20080101001460100000005000 0000027860001905   
0601ARA0d       20080101001465100000005000 0000028000001908   
0601ARA0d       20080101001470100000005000 0000028160001912   
0601ARA0d       20080101001475100000005000 0000028290001915   
0601ARA0d       20080101001480100000005000 0000028450001919   
0601ARA0d       20080101001485100000005000 0000028580001921   
0601ARA0d       20080101001490100000010000 0000000000001920   
0601ARA0d       20080101001500100000500000 0000000000002067   
0601ARA0d       20080101002000100000500000 0000000000002285   
0601ARA0d       20080101002500100007499900 0000000000002355   
0601ARA1d       20080101000000100000115000 0100000030000027   
0601ARA1d       20080101000115100000005000 0100000030000026   
0601ARA1d       20080101000120100000005000 0100000030000024   
0601ARA1d       20080101000125100000005000 0100000030000024   
0601ARA1d       20080101000130100000005000 0100000030000023   
0601ARA1d       20080101000135100000005000 0100000030000022   
0601ARA1d       20080101000140100000005000 0100000030000021   
0601ARA1d       20080101000145100000005000 0100000030000020   
0601ARA1d       20080101000150100000005000 0100000030000020   
0601ARA1d       20080101000155100000005000 0100000030000019   
0601ARA1d       20080101000160100000005000 0100000030000018   
0601ARA1d       20080101000165100000005000 0100000030000018   
0601ARA1d       20080101000170100000005000 0100000030000017   
0601ARA1d       20080101000175100000005000 0100000030000017   
0601ARA1d       20080101000180100000005000 0100000030000016   
0601ARA1d       20080101000185100000005000 0100000060000032   
0601ARA1d       20080101000190100000005000 0100000080000042   
0601ARA1d       20080101000195100000005000 0100000100000051   
0601ARA1d       20080101000200100000005000 0100000140000069   
0601ARA1d       20080101000205100000005000 0100000180000087   
0601ARA1d       20080101000210100000005000 0100000220000104   
0601ARA1d       20080101000215100000005000 0100000270000124   
0601ARA1d       20080101000220100000005000 0100000310000139   
0601ARA1d       20080101000225100000005000 0100000350000154   
0601ARA1d       20080101000230100000005000 0100000410000176   
0601ARA1d       20080101000235100000005000 0100000460000194   
0601ARA1d       20080101000240100000005000 0100000510000210   
0601ARA1d       20080101000245100000005000 0100000570000230   
0601ARA1d       20080101000250100000005000 0100000620000246   
0601ARA1d       20080101000255100000005000 0100000670000260   
0601ARA1d       20080101000260100000005000 0100000730000278   
0601ARA1d       20080101000265100000005000 0100000780000292   
0601ARA1d       20080101000270100000005000 0100000830000305   
0601ARA1d       20080101000275100000005000 0100000890000321   
0601ARA1d       20080101000280100000005000 0100000950000336   
0601ARA1d       20080101000285100000005000 0100001010000351   
0601ARA1d       20080101000290100000005000 0100001090000373   
0601ARA1d       20080101000295100000005000 0100001150000387   
0601ARA1d       20080101000300100000005000 0100001210000400   
0601ARA1d       20080101000305100000005000 0100001270000413   
0601ARA1d       20080101000310100000005000 0100001340000429   
0601ARA1d       20080101000315100000005000 0100001400000441   
0601ARA1d       20080101000320100000005000 0100001460000453   
0601ARA1d       20080101000325100000005000 0100001520000464   
0601ARA1d       20080101000330100000005000 0100001580000475   
0601ARA1d       20080101000335100000005000 0100001650000489   
0601ARA1d       20080101000340100000005000 0100001710000499   
0601ARA1d       20080101000345100000005000 0100001770000509   
0601ARA1d       20080101000350100000005000 0100001840000522   
0601ARA1d       20080101000355100000005000 0100001910000534   
0601ARA1d       20080101000360100000005000 0100001970000543   
0601ARA1d       20080101000365100000005000 0100002050000558   
0601ARA1d       20080101000370100000005000 0100002110000566   
0601ARA1d       20080101000375100000005000 0100002180000577   
0601ARA1d       20080101000380100000005000 0100002250000588   
0601ARA1d       20080101000385100000005000 0100002320000599   
0601ARA1d       20080101000390100000005000 0100002390000609   
0601ARA1d       20080101000395100000005000 0100002460000619   
0601ARA1d       20080101000400100000005000 0100002550000634   
0601ARA1d       20080101000405100000005000 0100002640000648   
0601ARA1d       20080101000410100000005000 0100002710000657   
0601ARA1d       20080101000415100000005000 0100002780000666   
0601ARA1d       20080101000420100000005000 0100002850000675   
0601ARA1d       20080101000425100000005000 0100002930000685   
0601ARA1d       20080101000430100000005000 0100003000000694   
0601ARA1d       20080101000435100000005000 0100003070000702   
0601ARA1d       20080101000440100000005000 0100003140000710   
0601ARA1d       20080101000445100000005000 0100003220000720   
0601ARA1d       20080101000450100000005000 0100003290000727   
0601ARA1d       20080101000455100000005000 0100003370000737   
0601ARA1d       20080101000460100000005000 0100003450000746   
0601ARA1d       20080101000465100000005000 0100003530000755   
0601ARA1d       20080101000470100000005000 0100003610000764   
0601ARA1d       20080101000475100000005000 0100003690000773   
0601ARA1d       20080101000480100000005000 0100003770000781   
0601ARA1d       20080101000485100000005000 0100003850000790   
0601ARA1d       20080101000490100000005000 0100003930000798   
0601ARA1d       20080101000495100000005000 0100004010000806   
0601ARA1d       20080101000500100000005000 0100004090000814   
0601ARA1d       20080101000505100000005000 0100004170000822   
0601ARA1d       20080101000510100000005000 0100004240000827   
0601ARA1d       20080101000515100000005000 0100004320000835   
0601ARA1d       20080101000520100000005000 0100004400000842   
0601ARA1d       20080101000525100000005000 0100004500000853   
0601ARA1d       20080101000530100000005000 0100004580000860   
0601ARA1d       20080101000535100000005000 0100004660000867   
0601ARA1d       20080101000540100000005000 0100004740000874   
0601ARA1d       20080101000545100000005000 0100004810000879   
0601ARA1d       20080101000550100000005000 0100004910000889   
0601ARA1d       20080101000555100000005000 0100004990000895   
0601ARA1d       20080101000560100000005000 0100005070000901   
0601ARA1d       20080101000565100000005000 0100005150000907   
0601ARA1d       20080101000570100000005000 0100005240000915   
0601ARA1d       20080101000575100000005000 0100005320000921   
0601ARA1d       20080101000580100000005000 0100005400000927   
0601ARA1d       20080101000585100000005000 0100005480000933   
0601ARA1d       20080101000590100000005000 0100005560000938   
0601ARA1d       20080101000595100000005000 0100005660000947   
0601ARA1d       20080101000600100000005000 0100005750000954   
0601ARA1d       20080101000605100000005000 0100005830000960   
0601ARA1d       20080101000610100000005000 0100005910000965   
0601ARA1d       20080101000615100000005000 0100006010000973   
0601ARA1d       20080101000620100000005000 0100006090000978   
0601ARA1d       20080101000625100000005000 0100006180000985   
0601ARA1d       20080101000630100000005000 0100006260000990   
0601ARA1d       20080101000635100000005000 0100006340000995   
0601ARA1d       20080101000640100000005000 0100006440001002   
0601ARA1d       20080101000645100000005000 0100006530001008   
0601ARA1d       20080101000650100000005000 0100006620001015   
0601ARA1d       20080101000655100000005000 0100006720001022   
0601ARA1d       20080101000660100000005000 0100006830001031   
0601ARA1d       20080101000665100000005000 0100006920001037   
0601ARA1d       20080101000670100000005000 0100007010001042   
0601ARA1d       20080101000675100000005000 0100007110001049   
0601ARA1d       20080101000680100000005000 0100007200001055   
0601ARA1d       20080101000685100000005000 0100007310001063   
0601ARA1d       20080101000690100000005000 0100007400001069   
0601ARA1d       20080101000695100000005000 0100007500001075   
0601ARA1d       20080101000700100000005000 0100007590001080   
0601ARA1d       20080101000705100000005000 0100007700001088   
0601ARA1d       20080101000710100000005000 0100007790001093   
0601ARA1d       20080101000715100000005000 0100007890001100   
0601ARA1d       20080101000720100000005000 0100007980001104   
0601ARA1d       20080101000725100000005000 0100008070001109   
0601ARA1d       20080101000730100000005000 0100008180001117   
0601ARA1d       20080101000735100000005000 0100008280001123   
0601ARA1d       20080101000740100000005000 0100008370001127   
0601ARA1d       20080101000745100000005000 0100008470001133   
0601ARA1d       20080101000750100000005000 0100008580001140   
0601ARA1d       20080101000755100000005000 0100008670001145   
0601ARA1d       20080101000760100000005000 0100008760001149   
0601ARA1d       20080101000765100000005000 0100008860001154   
0601ARA1d       20080101000770100000005000 0100008950001159   
0601ARA1d       20080101000775100000005000 0100009060001165   
0601ARA1d       20080101000780100000005000 0100009150001169   
0601ARA1d       20080101000785100000005000 0100009250001175   
0601ARA1d       20080101000790100000005000 0100009340001179   
0601ARA1d       20080101000795100000005000 0100009450001185   
0601ARA1d       20080101000800100000005000 0100009550001190   
0601ARA1d       20080101000805100000005000 0100009640001194   
0601ARA1d       20080101000810100000005000 0100009740001199   
0601ARA1d       20080101000815100000005000 0100009830001202   
0601ARA1d       20080101000820100000005000 0100009950001210   
0601ARA1d       20080101000825100000005000 0100010050001215   
0601ARA1d       20080101000830100000005000 0100010140001218   
0601ARA1d       20080101000835100000005000 0100010240001223   
0601ARA1d       20080101000840100000005000 0100010350001228   
0601ARA1d       20080101000845100000005000 0100010450001233   
0601ARA1d       20080101000850100000005000 0100010550001238   
0601ARA1d       20080101000855100000005000 0100010650001242   
0601ARA1d       20080101000860100000005000 0100010750001246   
0601ARA1d       20080101000865100000005000 0100010860001252   
0601ARA1d       20080101000870100000005000 0100010960001256   
0601ARA1d       20080101000875100000005000 0100011060001260   
0601ARA1d       20080101000880100000005000 0100011160001265   
0601ARA1d       20080101000885100000005000 0100011270001270   
0601ARA1d       20080101000890100000005000 0100011370001274   
0601ARA1d       20080101000895100000005000 0100011460001277   
0601ARA1d       20080101000900100000005000 0100011560001281   
0601ARA1d       20080101000905100000005000 0100011650001284   
0601ARA1d       20080101000910100000005000 0100011760001289   
0601ARA1d       20080101000915100000005000 0100011860001293   
0601ARA1d       20080101000920100000005000 0100011950001295   
0601ARA1d       20080101000925100000005000 0100012050001299   
0601ARA1d       20080101000930100000005000 0100012160001304   
0601ARA1d       20080101000935100000005000 0100012250001307   
0601ARA1d       20080101000940100000005000 0100012350001310   
0601ARA1d       20080101000945100000005000 0100012450001314   
0601ARA1d       20080101000950100000005000 0100012550001318   
0601ARA1d       20080101000955100000005000 0100012670001323   
0601ARA1d       20080101000960100000005000 0100012770001327   
0601ARA1d       20080101000965100000005000 0100012870001330   
0601ARA1d       20080101000970100000005000 0100012970001334   
0601ARA1d       20080101000975100000005000 0100013090001339   
0601ARA1d       20080101000980100000005000 0100013190001342   
0601ARA1d       20080101000985100000005000 0100013290001346   
0601ARA1d       20080101000990100000005000 0100013400001350   
0601ARA1d       20080101000995100000005000 0100013500001353   
0601ARA1d       20080101001000100000005000 0100013620001359   
0601ARA1d       20080101001005100000005000 0100013720001362   
0601ARA1d       20080101001010100000005000 0100013820001365   
0601ARA1d       20080101001015100000005000 0100013920001368   
0601ARA1d       20080101001020100000005000 0100014040001373   
0601ARA1d       20080101001025100000005000 0100014140001376   
0601ARA1d       20080101001030100000005000 0100014250001380   
0601ARA1d       20080101001035100000005000 0100014340001382   
0601ARA1d       20080101001040100000005000 0100014450001386   
0601ARA1d       20080101001045100000005000 0100014570001391   
0601ARA1d       20080101001050100000005000 0100014670001394   
0601ARA1d       20080101001055100000005000 0100014770001397   
0601ARA1d       20080101001060100000005000 0100014890001401   
0601ARA1d       20080101001065100000005000 0100014990001404   
0601ARA1d       20080101001070100000005000 0100015100001408   
0601ARA1d       20080101001075100000005000 0100015220001413   
0601ARA1d       20080101001080100000005000 0100015330001416   
0601ARA1d       20080101001085100000005000 0100015450001421   
0601ARA1d       20080101001090100000005000 0100015560001424   
0601ARA1d       20080101001095100000005000 0100015670001428   
0601ARA1d       20080101001100100000005000 0100015790001432   
0601ARA1d       20080101001105100000005000 0100015900001436   
0601ARA1d       20080101001110100000005000 0100016000001438   
0601ARA1d       20080101001115100000005000 0100016130001443   
0601ARA1d       20080101001120100000005000 0100016240001447   
0601ARA1d       20080101001125100000005000 0100016370001452   
0601ARA1d       20080101001130100000005000 0100016480001455   
0601ARA1d       20080101001135100000005000 0100016590001458   
0601ARA1d       20080101001140100000005000 0100016720001463   
0601ARA1d       20080101001145100000005000 0100016830001467   
0601ARA1d       20080101001150100000005000 0100016940001470   
0601ARA1d       20080101001155100000005000 0100017070001475   
0601ARA1d       20080101001160100000005000 0100017180001478   
0601ARA1d       20080101001165100000005000 0100017280001480   
0601ARA1d       20080101001170100000005000 0100017420001486   
0601ARA1d       20080101001175100000005000 0100017530001489   
0601ARA1d       20080101001180100000005000 0100017670001494   
0601ARA1d       20080101001185100000005000 0100017780001497   
0601ARA1d       20080101001190100000005000 0100017890001500   
0601ARA1d       20080101001195100000005000 0100018030001506   
0601ARA1d       20080101001200100000005000 0100018140001509   
0601ARA1d       20080101001205100000005000 0100018250001511   
0601ARA1d       20080101001210100000005000 0100018390001517   
0601ARA1d       20080101001215100000005000 0100018500001520   
