00BL               20081110                                                                                   
0601BLA0d       20090101001445100000005000 0000032530002247   
0601BLA0d       20090101001450100000005000 0000032700002251   
0601BLA0d       20090101001455100000005000 0000032880002256   
0601BLA0d       20090101001460100000005000 0000033050002260   
0601BLA0d       20090101001465100000005000 0000033230002264   
0601BLA0d       20090101001470100000005000 0000033410002269   
0601BLA0d       20090101001475100000005000 0000033580002273   
0601BLA0d       20090101001480100000005000 0000033760002277   
0601BLA0d       20090101001485100000005000 0000033930002281   
0601BLA0d       20090101001490100000005000 0000034100002285   
0601BLA0d       20090101001495100000005000 0000034280002289   
0601BLA0d       20090101001500100000005000 0000034450002293   
0601BLA0d       20090101001505100000005000 0000034620002297   
0601BLA0d       20090101001510100000005000 0000034810002301   
0601BLA0d       20090101001515100000005000 0000034980002305   
0601BLA0d       20090101001520100000005000 0000035160002309   
0601BLA0d       20090101001525100000005000 0000035330002313   
0601BLA0d       20090101001530100000005000 0000035500002316   
0601BLA0d       20090101001535100000005000 0000035680002321   
0601BLA0d       20090101001540100000005000 0000035850002324   
0601BLA0d       20090101001545100000005000 0000036020002328   
0601BLA0d       20090101001550100000005000 0000036210002332   
0601BLA0d       20090101001555100000005000 0000036380002336   
0601BLA0d       20090101001560100000005000 0000036550002339   
0601BLA0d       20090101001565100000005000 0000036730002343   
0601BLA0d       20090101001570100000005000 0000036900002347   
0601BLA0d       20090101001575100000005000 0000037080002351   
0601BLA0d       20090101001580100000005000 0000037250002354   
0601BLA0d       20090101001585100000005000 0000037430002358   
0601BLA0d       20090101001590100000005000 0000037610002362   
0601BLA0d       20090101001595100000005000 0000037780002365   
0601BLA0d       20090101001600100000005000 0000037950002368   
0601BLA0d       20090101001605100000005000 0000038130002372   
0601BLA0d       20090101001610100000005000 0000038300002375   
0601BLA0d       20090101001615100000005000 0000038480002379   
0601BLA0d       20090101001620100000005000 0000038660002383   
0601BLA0d       20090101001625100000005000 0000038830002386   
0601BLA0d       20090101001630100000005000 0000039010002390   
0601BLA0d       20090101001635100000005000 0000039180002393   
0601BLA0d       20090101001640100000005000 0000039360002396   
0601BLA0d       20090101001645100000005000 0000039540002400   
0601BLA0d       20090101001650100000005000 0000039710002403   
0601BLA0d       20090101001655100000005000 0000039900002407   
