00AI               20071204                                                                                   
0601AIA0d       20080101001005100000005000 0000014500001439   
0601AIA0d       20080101001010100000005000 0000014620001444   
0601AIA0d       20080101001015100000005000 0000014730001448   
0601AIA0d       20080101001020100000005000 0000014840001451   
0601AIA0d       20080101001025100000005000 0000014970001457   
0601AIA0d       20080101001030100000005000 0000015080001461   
0601AIA0d       20080101001035100000005000 0000015190001464   
0601AIA0d       20080101001040100000005000 0000015300001468   
0601AIA0d       20080101001045100000005000 0000015410001471   
0601AIA0d       20080101001050100000005000 0000015540001476   
0601AIA0d       20080101001055100000005000 0000015650001480   
0601AIA0d       20080101001060100000005000 0000015770001484   
0601AIA0d       20080101001065100000005000 0000015900001489   
0601AIA0d       20080101001070100000005000 0000016010001493   
0601AIA0d       20080101001075100000005000 0000016130001497   
0601AIA0d       20080101001080100000005000 0000016250001501   
0601AIA0d       20080101001085100000005000 0000016370001505   
0601AIA0d       20080101001090100000005000 0000016480001508   
0601AIA0d       20080101001095100000005000 0000016610001513   
0601AIA0d       20080101001100100000005000 0000016730001517   
0601AIA0d       20080101001105100000005000 0000016860001522   
0601AIA0d       20080101001110100000005000 0000016970001525   
0601AIA0d       20080101001115100000005000 0000017090001529   
0601AIA0d       20080101001120100000005000 0000017210001533   
0601AIA0d       20080101001125100000005000 0000017330001537   
0601AIA0d       20080101001130100000005000 0000017450001541   
0601AIA0d       20080101001135100000005000 0000017570001545   
0601AIA0d       20080101001140100000005000 0000017690001548   
0601AIA0d       20080101001145100000005000 0000017800001551   
0601AIA0d       20080101001150100000005000 0000017930001556   
0601AIA0d       20080101001155100000005000 0000018050001559   
0601AIA0d       20080101001160100000005000 0000018170001563   
0601AIA0d       20080101001165100000005000 0000018290001567   
0601AIA0d       20080101001170100000005000 0000018410001570   
0601AIA0d       20080101001175100000005000 0000018530001574   
0601AIA0d       20080101001180100000005000 0000018650001577   
0601AIA0d       20080101001185100000005000 0000018760001580   
0601AIA0d       20080101001190100000005000 0000018900001585   
0601AIA0d       20080101001195100000005000 0000019030001589   
0601AIA0d       20080101001200100000005000 0000019160001593   
0601AIA0d       20080101001205100000005000 0000019280001597   
0601AIA0d       20080101001210100000005000 0000019410001601   
0601AIA0d       20080101001215100000005000 0000019550001606   
0601AIA0d       20080101001220100000005000 0000019670001609   
0601AIA0d       20080101001225100000005000 0000019800001613   
0601AIA0d       20080101001230100000005000 0000019930001617   
0601AIA0d       20080101001235100000005000 0000020060001621   
0601AIA0d       20080101001240100000005000 0000020190001625   
0601AIA0d       20080101001245100000005000 0000020320001629   
0601AIA0d       20080101001250100000005000 0000020450001633   
0601AIA0d       20080101001255100000005000 0000020590001637   
0601AIA0d       20080101001260100000005000 0000020710001640   
0601AIA0d       20080101001265100000005000 0000020840001644   
0601AIA0d       20080101001270100000005000 0000020970001648   
0601AIA0d       20080101001275100000005000 0000021100001652   
0601AIA0d       20080101001280100000005000 0000021220001655   
0601AIA0d       20080101001285100000005000 0000021360001659   
0601AIA0d       20080101001290100000005000 0000021490001663   
0601AIA0d       20080101001295100000005000 0000021610001666   
0601AIA0d       20080101001300100000005000 0000021750001670   
0601AIA0d       20080101001305100000005000 0000021880001673   
0601AIA0d       20080101001310100000005000 0000022010001677   
0601AIA0d       20080101001315100000005000 0000022130001680   
0601AIA0d       20080101001320100000005000 0000022260001683   
0601AIA0d       20080101001325100000005000 0000022400001687   
0601AIA0d       20080101001330100000005000 0000022530001691   
0601AIA0d       20080101001335100000005000 0000022650001693   
0601AIA0d       20080101001340100000005000 0000022790001698   
0601AIA0d       20080101001345100000005000 0000022920001701   
0601AIA0d       20080101001350100000005000 0000023050001704   
0601AIA0d       20080101001355100000005000 0000023170001707   
0601AIA0d       20080101001360100000005000 0000023300001710   
0601AIA0d       20080101001365100000005000 0000023440001714   
0601AIA0d       20080101001370100000005000 0000023570001717   
0601AIA0d       20080101001375100000005000 0000023690001720   
0601AIA0d       20080101001380100000005000 0000023830001724   
0601AIA0d       20080101001385100000005000 0000023960001727   
0601AIA0d       20080101001390100000005000 0000024080001729   
0601AIA0d       20080101001395100000005000 0000024210001732   
0601AIA0d       20080101001400100000005000 0000024340001735   
0601AIA0d       20080101001405100000005000 0000024480001739   
0601AIA0d       20080101001410100000005000 0000024600001742   
0601AIA0d       20080101001415100000005000 0000024720001744   
0601AIA0d       20080101001420100000005000 0000024850001747   
0601AIA0d       20080101001425100000005000 0000024980001750   
0601AIA0d       20080101001430100000005000 0000025100001752   
0601AIA0d       20080101001435100000005000 0000025230001755   
0601AIA0d       20080101001440100000005000 0000025350001757   
0601AIA0d       20080101001445100000005000 0000025480001760   
0601AIA0d       20080101001450100000005000 0000025600001762   
0601AIA0d       20080101001455100000005000 0000025730001765   
0601AIA0d       20080101001460100000005000 0000025860001768   
0601AIA0d       20080101001465100000005000 0000025970001770   
0601AIA0d       20080101001470100000005000 0000026100001772   
0601AIA0d       20080101001475100000005000 0000026230001775   
0601AIA0d       20080101001480100000005000 0000026360001778   
0601AIA0d       20080101001485100000005000 0000026470001779   
0601AIA0d       20080101001490100000005000 0000026600001782   
0601AIA0d       20080101001495100000005000 0000026730001785   
0601AIA0d       20080101001500100000005000 0000026860001788   
0601AIA0d       20080101001505100000005000 0000026980001790   
0601AIA0d       20080101001510100000005000 0000027100001792   
0601AIA0d       20080101001515100000005000 0000027230001794   
0601AIA0d       20080101001520100000005000 0000027360001797   
0601AIA0d       20080101001525100000005000 0000027480001799   
0601AIA0d       20080101001530100000005000 0000027620001802   
0601AIA0d       20080101001535100000005000 0000027760001806   
