00ZH               20071005                                                                                   
0601ZHA0d       20080101001430100000005000 0000023070001610   
0601ZHA0d       20080101001435100000005000 0000023220001615   
0601ZHA0d       20080101001440100000005000 0000023370001620   
0601ZHA0d       20080101001445100000005000 0000023510001624   
0601ZHA0d       20080101001450100000005000 0000023660001629   
0601ZHA0d       20080101001455100000005000 0000023830001635   
0601ZHA0d       20080101001460100000005000 0000023970001639   
0601ZHA0d       20080101001465100000005000 0000024110001643   
0601ZHA0d       20080101001470100000005000 0000024270001648   
0601ZHA0d       20080101001475100000005000 0000024410001652   
0601ZHA0d       20080101001480100000005000 0000024560001657   
0601ZHA0d       20080101001485100000005000 0000024700001661   
0601ZHA0d       20080101001490100000005000 0000024870001666   
0601ZHA0d       20080101001495100000005000 0000025020001671   
0601ZHA0d       20080101001500100000005000 0000025160001675   
0601ZHA0d       20080101001505100000005000 0000025310001679   
0601ZHA0d       20080101001510100000005000 0000025460001683   
0601ZHA0d       20080101001515100000005000 0000025600001687   
0601ZHA0d       20080101001520100000005000 0000025770001693   
0601ZHA0d       20080101001525100000005000 0000025920001697   
0601ZHA0d       20080101001530100000005000 0000026060001700   
0601ZHA0d       20080101001535100000005000 0000026210001705   
0601ZHA0d       20080101001540100000005000 0000026360001709   
0601ZHA0d       20080101001545100000005000 0000026500001712   
0601ZHA0d       20080101001550100000005000 0000026670001718   
0601ZHA0d       20080101001555100000005000 0000026810001721   
0601ZHA0d       20080101001560100000005000 0000026960001725   
0601ZHA0d       20080101001565100000005000 0000027110001730   
0601ZHA0d       20080101001570100000005000 0000027250001733   
0601ZHA0d       20080101001575100000005000 0000027410001738   
0601ZHA0d       20080101001580100000005000 0000027550001741   
0601ZHA0d       20080101001585100000005000 0000027710001746   
0601ZHA0d       20080101001590100000005000 0000027860001749   
0601ZHA0d       20080101001595100000005000 0000028010001753   
0601ZHA0d       20080101001600100000200000 0000000000001829   
0601ZHA0d       20080101001800100000200000 0000000000001976   
0601ZHA0d       20080101002000100000500000 0000000000002193   
0601ZHA0d       20080101002500100000500000 0000000000002428   
0601ZHA0d       20080101003000100000500000 0000000000002601   
0601ZHA0d       20080101003500100000500000 0000000000002728   
0601ZHA0d       20080101004000100000500000 0000000000002826   
0601ZHA0d       20080101004500100000500000 0000000000002903   
0601ZHA0d       20080101005000100005000000 0000000000003126   
0601ZHA0d       20080101010000100005000000 0000000000003196   
0601ZHA1d       20080101000000100000080000 0100000020000050   
0601ZHA1d       20080101000080100000005000 0100000020000024   
0601ZHA1d       20080101000085100000005000 0100000020000023   
0601ZHA1d       20080101000090100000005000 0100000020000022   
0601ZHA1d       20080101000095100000005000 0100000020000021   
0601ZHA1d       20080101000100100000005000 0100000020000020   
0601ZHA1d       20080101000105100000005000 0100000020000019   
0601ZHA1d       20080101000110100000005000 0100000020000018   
0601ZHA1d       20080101000115100000005000 0100000020000017   
0601ZHA1d       20080101000120100000005000 0100000020000016   
0601ZHA1d       20080101000125100000005000 0100000020000016   
0601ZHA1d       20080101000130100000005000 0100000020000015   
0601ZHA1d       20080101000135100000005000 0100000020000015   
0601ZHA1d       20080101000140100000005000 0100000020000014   
0601ZHA1d       20080101000145100000005000 0100000020000014   
0601ZHA1d       20080101000150100000005000 0100000020000013   
0601ZHA1d       20080101000155100000005000 0100000020000013   
0601ZHA1d       20080101000160100000005000 0100000020000012   
0601ZHA1d       20080101000165100000005000 0100000020000012   
0601ZHA1d       20080101000170100000005000 0100000020000012   
0601ZHA1d       20080101000175100000005000 0100000020000011   
