00UR               20081210                                                                                   
0601URA0d       20090101001595100000005000 0000025680001608   
0601URA0d       20090101001600100000005000 0000025790001609   
0601URA0d       20090101001605100000005000 0000025920001612   
0601URA0d       20090101001610100000005000 0000026020001614   
0601URA0d       20090101001615100000005000 0000026130001615   
0601URA0d       20090101001620100000005000 0000026260001618   
0601URA0d       20090101001625100000005000 0000026370001620   
0601URA0d       20090101001630100000005000 0000026500001623   
0601URA0d       20090101001635100000005000 0000026600001624   
0601URA0d       20090101001640100000005000 0000026710001626   
0601URA0d       20090101001645100000005000 0000026840001629   
0601URA0d       20090101001650100000005000 0000026950001631   
0601URA0d       20090101001655100000005000 0000027070001633   
0601URA0d       20090101001660100000005000 0000027210001637   
0601URA0d       20090101001665100000005000 0000027320001638   
0601URA0d       20090101001670100000005000 0000027460001642   
0601URA0d       20090101001675100000005000 0000027580001644   
0601URA0d       20090101001680100000005000 0000027700001646   
0601URA0d       20090101001685100000005000 0000027840001650   
0601URA0d       20090101001690100000005000 0000027950001651   
0601URA0d       20090101001695100000005000 0000028070001654   
0601URA0d       20090101001700100000005000 0000028210001657   
0601URA0d       20090101001705100000005000 0000028330001659   
0601URA0d       20090101001710100000005000 0000028440001661   
0601URA0d       20090101001715100000005000 0000028580001664   
0601URA0d       20090101001720100000005000 0000028700001666   
0601URA0d       20090101001725100000005000 0000028840001669   
0601URA0d       20090101001730100000005000 0000028960001672   
0601URA0d       20090101001735100000005000 0000029070001673   
0601URA0d       20090101001740100000005000 0000029210001676   
0601URA0d       20090101001745100000005000 0000029330001678   
0601URA0d       20090101001750100000005000 0000029440001680   
0601URA0d       20090101001755100000005000 0000029580001683   
0601URA0d       20090101001760100000005000 0000029700001685   
0601URA0d       20090101001765100000005000 0000029820001687   
0601URA0d       20090101001770100000005000 0000029960001690   
0601URA0d       20090101001775100000005000 0000030070001692   
0601URA0d       20090101001780100000005000 0000030210001695   
0601URA0d       20090101001785100000005000 0000030330001697   
0601URA0d       20090101001790100000005000 0000030450001699   
0601URA0d       20090101001795100000005000 0000030590001702   
0601URA0d       20090101001800100000005000 0000030700001703   
0601URA0d       20090101001805100000005000 0000030820001705   
0601URA0d       20090101001810100000005000 0000030960001708   
0601URA0d       20090101001815100000005000 0000031080001710   
0601URA0d       20090101001820100000005000 0000031220001713   
0601URA0d       20090101001825100000005000 0000031330001714   
0601URA0d       20090101001830100000005000 0000031450001716   
0601URA0d       20090101001835100000005000 0000031590001719   
0601URA0d       20090101001840100000005000 0000031700001720   
0601URA0d       20090101001845100000005000 0000031820001722   
0601URA0d       20090101001850100000005000 0000031960001725   
0601URA0d       20090101001855100000005000 0000032080001727   
0601URA0d       20090101001860100000005000 0000032190001728   
0601URA0d       20090101001865100000005000 0000032330001731   
0601URA0d       20090101001870100000005000 0000032450001733   
0601URA0d       20090101001875100000005000 0000032590001736   
0601URA0d       20090101001880100000005000 0000032710001738   
0601URA0d       20090101001885100000005000 0000032820001739   
0601URA0d       20090101001890100000005000 0000032960001742   
0601URA0d       20090101001895100000005000 0000033080001743   
0601URA0d       20090101001900100000005000 0000033200001745   
0601URA0d       20090101001905100000005000 0000033340001748   
0601URA0d       20090101001910100000005000 0000033450001749   
