00SZ               20081218                                                                                   
0601SZA0d       20090101000980100000005000 0000009070000923   
0601SZA0d       20090101000985100000005000 0000009140000926   
0601SZA0d       20090101000990100000005000 0000009220000929   
0601SZA0d       20090101000995100000005000 0000009300000932   
0601SZA0d       20090101001000100000005000 0000009380000936   
0601SZA0d       20090101001005100000005000 0000009450000938   
0601SZA0d       20090101001010100000005000 0000009530000941   
0601SZA0d       20090101001015100000005000 0000009610000944   
0601SZA0d       20090101001020100000005000 0000009710000950   
0601SZA0d       20090101001025100000005000 0000009780000952   
0601SZA0d       20090101001030100000005000 0000009870000956   
0601SZA0d       20090101001035100000005000 0000009950000959   
0601SZA0d       20090101001040100000005000 0000010040000963   
0601SZA0d       20090101001045100000005000 0000010120000966   
0601SZA0d       20090101001050100000005000 0000010210000970   
0601SZA0d       20090101001055100000005000 0000010280000972   
0601SZA0d       20090101001060100000005000 0000010390000978   
0601SZA0d       20090101001065100000005000 0000010470000981   
0601SZA0d       20090101001070100000005000 0000010560000985   
0601SZA0d       20090101001075100000005000 0000010650000988   
0601SZA0d       20090101001080100000005000 0000010740000992   
0601SZA0d       20090101001085100000005000 0000010830000996   
0601SZA0d       20090101001090100000005000 0000010910000999   
0601SZA0d       20090101001095100000005000 0000011000001002   
0601SZA0d       20090101001100100000005000 0000011090001006   
0601SZA0d       20090101001105100000005000 0000011180001009   
0601SZA0d       20090101001110100000005000 0000011270001013   
0601SZA0d       20090101001115100000005000 0000011360001017   
0601SZA0d       20090101001120100000005000 0000011440001019   
0601SZA0d       20090101001125100000005000 0000011540001024   
0601SZA0d       20090101001130100000005000 0000011620001026   
0601SZA0d       20090101001135100000005000 0000011700001029   
0601SZA0d       20090101001140100000005000 0000011810001034   
0601SZA0d       20090101001145100000005000 0000011880001035   
0601SZA0d       20090101001150100000005000 0000011970001039   
0601SZA0d       20090101001155100000005000 0000012070001043   
0601SZA0d       20090101001160100000005000 0000012140001044   
0601SZA0d       20090101001165100000005000 0000012240001048   
0601SZA0d       20090101001170100000005000 0000012330001052   
0601SZA0d       20090101001175100000005000 0000012410001054   
0601SZA0d       20090101001180100000005000 0000012510001058   
0601SZA0d       20090101001185100000005000 0000012590001060   
0601SZA0d       20090101001190100000005000 0000012670001062   
0601SZA0d       20090101001195100000005000 0000012770001066   
0601SZA0d       20090101001200100000005000 0000012850001069   
0601SZA0d       20090101001205100000005000 0000012930001071   
0601SZA0d       20090101001210100000005000 0000013040001075   
0601SZA0d       20090101001215100000005000 0000013110001077   
0601SZA0d       20090101001220100000005000 0000013210001081   
0601SZA0d       20090101001225100000005000 0000013300001084   
0601SZA0d       20090101001230100000005000 0000013380001086   
0601SZA0d       20090101001235100000005000 0000013480001089   
0601SZA0d       20090101001240100000005000 0000013560001091   
0601SZA0d       20090101001245100000005000 0000013640001093   
0601SZA0d       20090101001250100000005000 0000013740001097   
0601SZA0d       20090101001255100000005000 0000013830001100   
0601SZA0d       20090101001260100000005000 0000013910001102   
0601SZA0d       20090101001265100000005000 0000014000001105   
0601SZA0d       20090101001270100000005000 0000014090001107   
0601SZA0d       20090101001275100000005000 0000014180001110   
0601SZA0d       20090101001280100000005000 0000014270001113   
0601SZA0d       20090101001285100000005000 0000014360001115   
0601SZA0d       20090101001290100000005000 0000014460001119   
0601SZA0d       20090101001295100000005000 0000014560001122   
0601SZA0d       20090101001300100000005000 0000014650001125   
0601SZA0d       20090101001305100000005000 0000014750001128   
0601SZA0d       20090101001310100000005000 0000014850001131   
0601SZA0d       20090101001315100000005000 0000014950001135   
0601SZA0d       20090101001320100000005000 0000015050001138   
0601SZA0d       20090101001325100000005000 0000015140001140   
0601SZA0d       20090101001330100000005000 0000015250001144   
0601SZA0d       20090101001335100000005000 0000015340001147   
0601SZA0d       20090101001340100000005000 0000015430001149   
0601SZA0d       20090101001345100000005000 0000015540001153   
0601SZA0d       20090101001350100000005000 0000015630001156   
0601SZA0d       20090101001355100000005000 0000015740001159   
0601SZA0d       20090101001360100000005000 0000015830001162   
0601SZA0d       20090101001365100000005000 0000015920001164   
0601SZA0d       20090101001370100000005000 0000016040001169   
0601SZA0d       20090101001375100000005000 0000016120001170   
0601SZA0d       20090101001380100000005000 0000016220001173   
0601SZA0d       20090101001385100000005000 0000016330001177   
0601SZA0d       20090101001390100000005000 0000016410001178   
0601SZA0d       20090101001395100000005000 0000016510001181   
0601SZA0d       20090101001400100000005000 0000016620001185   
0601SZA0d       20090101001405100000005000 0000016710001187   
0601SZA0d       20090101001410100000005000 0000016810001190   
0601SZA0d       20090101001415100000005000 0000016920001194   
0601SZA0d       20090101001420100000005000 0000017000001195   
0601SZA0d       20090101001425100000005000 0000017110001199   
0601SZA0d       20090101001430100000005000 0000017210001201   
0601SZA0d       20090101001435100000005000 0000017290001203   
0601SZA0d       20090101001440100000005000 0000017410001207   
0601SZA0d       20090101001445100000005000 0000017500001209   
0601SZA0d       20090101001450100000005000 0000017580001210   
0601SZA0d       20090101001455100000005000 0000017700001214   
0601SZA0d       20090101001460100000005000 0000017790001216   
0601SZA0d       20090101001465100000005000 0000017890001219   
0601SZA0d       20090101001470100000005000 0000017990001222   
0601SZA0d       20090101001475100000005000 0000018090001224   
0601SZA0d       20090101001480100000005000 0000018190001227   
0601SZA0d       20090101001485100000005000 0000018280001229   
0601SZA0d       20090101001490100000005000 0000018380001231   
0601SZA0d       20090101001495100000005000 0000018480001234   
0601SZA0d       20090101001500100000005000 0000018580001237   
0601SZA0d       20090101001505100000005000 0000018680001239   
0601SZA0d       20090101001510100000005000 0000018770001241   
0601SZA0d       20090101001515100000005000 0000018870001243   
0601SZA0d       20090101001520100000005000 0000018970001246   
0601SZA0d       20090101001525100000005000 0000019070001248   
0601SZA0d       20090101001530100000005000 0000019160001250   
0601SZA0d       20090101001535100000005000 0000019260001253   
0601SZA0d       20090101001540100000005000 0000019360001255   
0601SZA0d       20090101001545100000005000 0000019450001257   
0601SZA0d       20090101001550100000005000 0000019560001260   
0601SZA0d       20090101001555100000005000 0000019650001262   
0601SZA0d       20090101001560100000005000 0000019760001265   
0601SZA0d       20090101001565100000005000 0000019850001266   
0601SZA0d       20090101001570100000005000 0000019940001268   
0601SZA0d       20090101001575100000005000 0000020060001272   
0601SZA0d       20090101001580100000005000 0000020140001273   
0601SZA0d       20090101001585100000005000 0000020240001275   
0601SZA0d       20090101001590100000005000 0000020350001278   
0601SZA0d       20090101001595100000005000 0000020440001279   
0601SZA0d       20090101001600100000005000 0000020530001281   
0601SZA0d       20090101001605100000005000 0000020640001284   
0601SZA0d       20090101001610100000005000 0000020730001286   
0601SZA0d       20090101001615100000005000 0000020830001288   
0601SZA0d       20090101001620100000005000 0000020940001291   
0601SZA0d       20090101001625100000005000 0000021020001292   
0601SZA0d       20090101001630100000005000 0000021130001294   
0601SZA0d       20090101001635100000005000 0000021230001296   
0601SZA0d       20090101001640100000005000 0000021310001297   
0601SZA0d       20090101001645100000005000 0000021430001301   
0601SZA0d       20090101001650100000005000 0000021530001303   
0601SZA0d       20090101001655100000005000 0000021630001305   
0601SZA0d       20090101001660100000005000 0000021740001308   
0601SZA0d       20090101001665100000005000 0000021850001310   
0601SZA0d       20090101001670100000005000 0000021960001313   
0601SZA0d       20090101001675100000005000 0000022070001316   
0601SZA0d       20090101001680100000005000 0000022170001318   
0601SZA0d       20090101001685100000005000 0000022290001321   
0601SZA0d       20090101001690100000005000 0000022390001323   
0601SZA0d       20090101001695100000005000 0000022490001325   
0601SZA0d       20090101001700100000005000 0000022610001328   
0601SZA0d       20090101001705100000005000 0000022710001330   
0601SZA0d       20090101001710100000005000 0000022810001332   
0601SZA0d       20090101001715100000005000 0000022930001335   
0601SZA0d       20090101001720100000005000 0000023030001337   
0601SZA0d       20090101001725100000005000 0000023150001340   
0601SZA0d       20090101001730100000005000 0000023250001342   
0601SZA0d       20090101001735100000005000 0000023350001344   
0601SZA0d       20090101001740100000005000 0000023470001347   
0601SZA0d       20090101001745100000005000 0000023570001349   
0601SZA0d       20090101001750100000005000 0000023680001351   
0601SZA0d       20090101001755100000005000 0000023790001354   
0601SZA0d       20090101001760100000005000 0000023890001355   
0601SZA0d       20090101001765100000005000 0000024010001358   
0601SZA0d       20090101001770100000005000 0000024110001360   
0601SZA0d       20090101001775100000005000 0000024220001363   
0601SZA0d       20090101001780100000005000 0000024340001365   
0601SZA0d       20090101001785100000005000 0000024430001367   
0601SZA0d       20090101001790100000005000 0000024540001369   
0601SZA0d       20090101001795100000005000 0000024660001372   
0601SZA0d       20090101001800100000005000 0000024760001374   
0601SZA0d       20090101001805100000005000 0000024870001376   
0601SZA0d       20090101001810100000005000 0000024990001379   
0601SZA0d       20090101001815100000005000 0000025080001380   
0601SZA0d       20090101001820100000005000 0000025200001383   
0601SZA0d       20090101001825100000005000 0000025310001385   
0601SZA0d       20090101001830100000005000 0000025400001386   
0601SZA0d       20090101001835100000005000 0000025530001389   
0601SZA0d       20090101001840100000005000 0000025630001391   
0601SZA0d       20090101001845100000005000 0000025720001392   
0601SZA0d       20090101001850100000005000 0000025850001395   
0601SZA0d       20090101001855100000005000 0000025950001397   
0601SZA0d       20090101001860100000005000 0000026050001399   
0601SZA0d       20090101001865100000005000 0000026170001401   
0601SZA0d       20090101001870100000005000 0000026270001403   
0601SZA0d       20090101001875100000005000 0000026390001406   
0601SZA0d       20090101001880100000005000 0000026490001407   
0601SZA0d       20090101001885100000005000 0000026590001409   
0601SZA0d       20090101001890100000005000 0000026710001411   
0601SZA0d       20090101001895100000005000 0000026810001413   
0601SZA0d       20090101001900100000005000 0000026920001415   
0601SZA0d       20090101001905100000005000 0000027030001417   
0601SZA0d       20090101001910100000005000 0000027130001419   
0601SZA0d       20090101001915100000005000 0000027250001421   
0601SZA0d       20090101001920100000005000 0000027350001423   
0601SZA0d       20090101001925100000005000 0000027460001425   
0601SZA0d       20090101001930100000005000 0000027570001427   
