00LU               20081107                                                                                   
0601LUA0d       20090101002045100000005000 0000044610002179   
0601LUA0d       20090101002050100000005000 0000044760002181   
0601LUA0d       20090101002055100000005000 0000044940002184   
0601LUA0d       20090101002060100000005000 0000045080002186   
0601LUA0d       20090101002065100000005000 0000045260002189   
0601LUA0d       20090101002070100000005000 0000045410002191   
0601LUA0d       20090101002075100000005000 0000045550002193   
0601LUA0d       20090101002080100000005000 0000045730002196   
0601LUA0d       20090101002085100000005000 0000045880002198   
0601LUA0d       20090101002090100000005000 0000046020002199   
0601LUA0d       20090101002095100000005000 0000046200002203   
0601LUA0d       20090101002100100000005000 0000046350002205   
0601LUA0d       20090101002105100000005000 0000046490002206   
0601LUA0d       20090101002110100000005000 0000046670002209   
0601LUA0d       20090101002115100000005000 0000046820002211   
0601LUA0d       20090101002120100000005000 0000046990002214   
0601LUA0d       20090101002125100000005000 0000047140002216   
0601LUA0d       20090101002130100000005000 0000047290002218   
0601LUA0d       20090101002135100000005000 0000047460002220   
0601LUA0d       20090101002140100000005000 0000047610002222   
0601LUA0d       20090101002145100000005000 0000047760002224   
0601LUA0d       20090101002150100000005000 0000047930002227   
0601LUA0d       20090101002155100000005000 0000048080002229   
0601LUA0d       20090101002160100000005000 0000048230002230   
0601LUA0d       20090101002165100000005000 0000048400002233   
0601LUA0d       20090101002170100000005000 0000048550002235   
0601LUA0d       20090101002175100000005000 0000048730002238   
0601LUA0d       20090101002180100000005000 0000048870002239   
0601LUA0d       20090101002185100000005000 0000049020002241   
0601LUA0d       20090101002190100000005000 0000049200002244   
0601LUA0d       20090101002195100000005000 0000049340002245   
0601LUA0d       20090101002200100000005000 0000049490002247   
0601LUA0d       20090101002205100000005000 0000049670002250   
0601LUA0d       20090101002210100000005000 0000049810002251   
0601LUA0d       20090101002215100000005000 0000049990002254   
0601LUA0d       20090101002220100000005000 0000050140002256   
0601LUA0d       20090101002225100000005000 0000050280002257   
0601LUA0d       20090101002230100000005000 0000050460002260   
0601LUA0d       20090101002235100000005000 0000050610002262   
0601LUA0d       20090101002240100000005000 0000050750002263   
0601LUA0d       20090101002245100000005000 0000050930002266   
0601LUA0d       20090101002250100000005000 0000051080002268   
0601LUA0d       20090101002255100000005000 0000051220002269   
0601LUA0d       20090101002260100000005000 0000051400002272   
0601LUA0d       20090101002265100000005000 0000051550002273   
0601LUA0d       20090101002270100000005000 0000051720002276   
0601LUA0d       20090101002275100000005000 0000051870002277   
0601LUA0d       20090101002280100000005000 0000052020002279   
0601LUA0d       20090101002285100000005000 0000052190002282   
0601LUA0d       20090101002290100000005000 0000052340002283   
0601LUA0d       20090101002295100000005000 0000052490002285   
0601LUA0d       20090101002300100000005000 0000052660002287   
0601LUA0d       20090101002305100000005000 0000052810002289   
0601LUA0d       20090101002310100000005000 0000052960002290   
0601LUA0d       20090101002315100000005000 0000053130002293   
0601LUA0d       20090101002320100000005000 0000053280002294   
0601LUA0d       20090101002325100000005000 0000053460002297   
0601LUA0d       20090101002330100000005000 0000053600002298   
0601LUA0d       20090101002335100000005000 0000053750002299   
0601LUA0d       20090101002340100000005000 0000053930002302   
0601LUA0d       20090101002345100000005000 0000054070002303   
0601LUA0d       20090101002350100000005000 0000054220002305   
0601LUA0d       20090101002355100000005000 0000054400002308   
0601LUA0d       20090101002360100000005000 0000054540002309   
0601LUA0d       20090101002365100000005000 0000054720002311   
0601LUA0d       20090101002370100000005000 0000054870002313   
0601LUA0d       20090101002375100000005000 0000055010002314   
0601LUA0d       20090101002380100000005000 0000055190002316   
0601LUA0d       20090101002385100000005000 0000055340002318   
0601LUA0d       20090101002390100000005000 0000055480002319   
0601LUA0d       20090101002395100000005000 0000055660002322   
0601LUA0d       20090101002400100000005000 0000055810002323   
0601LUA0d       20090101002405100000005000 0000055950002324   
0601LUA0d       20090101002410100000005000 0000056130002327   
0601LUA0d       20090101002415100000005000 0000056280002328   
0601LUA0d       20090101002420100000005000 0000056450002330   
0601LUA0d       20090101002425100000005000 0000056600002332   
0601LUA0d       20090101002430100000005000 0000056750002333   
0601LUA0d       20090101002435100000005000 0000056920002335   
