00GL               20090106                                                                                   
0601GLA1d       20090101000530100000005000 0100004615000868   
0601GLA1d       20090101000535100000005000 0100004694000873   
0601GLA1d       20090101000540100000005000 0100004773000879   
0601GLA1d       20090101000545100000005000 0100004851500886   
0601GLA1d       20090101000550100000005000 0100004946500896   
0601GLA1d       20090101000555100000005000 0100005026000902   
0601GLA1d       20090101000560100000005000 0100005106000908   
0601GLA1d       20090101000565100000005000 0100005186500915   
0601GLA1d       20090101000570100000005000 0100005266500921   
0601GLA1d       20090101000575100000005000 0100005347000926   
0601GLA1d       20090101000580100000005000 0100005427000932   
0601GLA1d       20090101000585100000005000 0100005507500938   
0601GLA1d       20090101000590100000005000 0100005587500943   
0601GLA1d       20090101000595100000005000 0100005668000949   
0601GLA1d       20090101000600100000005000 0100005757000956   
0601GLA1d       20090101000605100000005000 0100005859000965   
0601GLA1d       20090101000610100000005000 0100005961000973   
0601GLA1d       20090101000615100000005000 0100006063000981   
0601GLA1d       20090101000620100000005000 0100006165500991   
0601GLA1d       20090101000625100000005000 0100006267500999   
0601GLA1d       20090101000630100000005000 0100006369501007   
0601GLA1d       20090101000635100000005000 0100006471501015   
0601GLA1d       20090101000640100000005000 0100006594001026   
0601GLA1d       20090101000645100000005000 0100006696001035   
0601GLA1d       20090101000650100000005000 0100006798001042   
0601GLA1d       20090101000655100000005000 0100006900001049   
0601GLA1d       20090101000660100000005000 0100007002501057   
0601GLA1d       20090101000665100000005000 0100007104501064   
0601GLA1d       20090101000670100000005000 0100007206501072   
0601GLA1d       20090101000675100000005000 0100007308501079   
0601GLA1d       20090101000680100000005000 0100007410501086   
0601GLA1d       20090101000685100000005000 0100007512501092   
0601GLA1d       20090101000690100000005000 0100007615001100   
0601GLA1d       20090101000695100000005000 0100007717001107   
0601GLA1d       20090101000700100000005000 0100007819001113   
0601GLA1d       20090101000705100000005000 0100007921001119   
0601GLA1d       20090101000710100000005000 0100008023001126   
0601GLA1d       20090101000715100000005000 0100008125501133   
0601GLA1d       20090101000720100000005000 0100008239501140   
0601GLA1d       20090101000725100000005000 0100008354001148   
0601GLA1d       20090101000730100000005000 0100008468501156   
0601GLA1d       20090101000735100000005000 0100008583001163   
0601GLA1d       20090101000740100000005000 0100008697501172   
0601GLA1d       20090101000745100000005000 0100008812001179   
0601GLA1d       20090101000750100000005000 0100008926501187   
0601GLA1d       20090101000755100000005000 0100009064001196   
