00SG               20081219                                                                                   
0601SGA1d       20090101000405100000005000 0100002720000667   
0601SGA1d       20090101000410100000005000 0100002800000679   
0601SGA1d       20090101000415100000005000 0100002880000690   
0601SGA1d       20090101000420100000005000 0100002950000698   
0601SGA1d       20090101000425100000005000 0100003030000709   
0601SGA1d       20090101000430100000005000 0100003110000719   
0601SGA1d       20090101000435100000005000 0100003180000727   
0601SGA1d       20090101000440100000005000 0100003260000737   
0601SGA1d       20090101000445100000005000 0100003340000746   
0601SGA1d       20090101000450100000005000 0100003430000758   
0601SGA1d       20090101000455100000005000 0100003510000767   
0601SGA1d       20090101000460100000005000 0100003600000778   
0601SGA1d       20090101000465100000005000 0100003690000789   
0601SGA1d       20090101000470100000005000 0100003770000798   
0601SGA1d       20090101000475100000005000 0100003860000808   
0601SGA1d       20090101000480100000005000 0100003950000819   
0601SGA1d       20090101000485100000005000 0100004030000827   
0601SGA1d       20090101000490100000005000 0100004120000837   
0601SGA1d       20090101000495100000005000 0100004210000846   
0601SGA1d       20090101000500100000005000 0100004300000856   
0601SGA1d       20090101000505100000005000 0100004400000867   
0601SGA1d       20090101000510100000005000 0100004490000876   
0601SGA1d       20090101000515100000005000 0100004590000887   
0601SGA1d       20090101000520100000005000 0100004680000896   
0601SGA1d       20090101000525100000005000 0100004790000908   
0601SGA1d       20090101000530100000005000 0100004890000918   
0601SGA1d       20090101000535100000005000 0100004980000927   
0601SGA1d       20090101000540100000005000 0100005080000936   
0601SGA1d       20090101000545100000005000 0100005170000944   
0601SGA1d       20090101000550100000005000 0100005270000954   
0601SGA1d       20090101000555100000005000 0100005360000961   
0601SGA1d       20090101000560100000005000 0100005450000969   
0601SGA1d       20090101000565100000005000 0100005550000978   
0601SGA1d       20090101000570100000005000 0100005640000985   
0601SGA1d       20090101000575100000005000 0100005740000994   
0601SGA1d       20090101000580100000005000 0100005830001001   
0601SGA1d       20090101000585100000005000 0100005920001008   
0601SGA1d       20090101000590100000005000 0100006020001016   
0601SGA1d       20090101000595100000005000 0100006110001023   
0601SGA1d       20090101000600100000005000 0100006210001031   
0601SGA1d       20090101000605100000005000 0100006310001039   
0601SGA1d       20090101000610100000005000 0100006410001047   
0601SGA1d       20090101000615100000005000 0100006520001056   
0601SGA1d       20090101000620100000005000 0100006620001063   
0601SGA1d       20090101000625100000005000 0100006730001073   
0601SGA1d       20090101000630100000005000 0100006830001080   
0601SGA1d       20090101000635100000005000 0100006940001089   
0601SGA1d       20090101000640100000005000 0100007070001100   
0601SGA1d       20090101000645100000005000 0100007170001107   
0601SGA1d       20090101000650100000005000 0100007280001116   
0601SGA1d       20090101000655100000005000 0100007380001122   
0601SGA1d       20090101000660100000005000 0100007490001131   
0601SGA1d       20090101000665100000005000 0100007590001137   
0601SGA1d       20090101000670100000005000 0100007690001143   
0601SGA1d       20090101000675100000005000 0100007790001150   
0601SGA1d       20090101000680100000005000 0100007890001156   
0601SGA1d       20090101000685100000005000 0100008010001165   
0601SGA1d       20090101000690100000005000 0100008110001171   
0601SGA1d       20090101000695100000005000 0100008210001177   
0601SGA1d       20090101000700100000005000 0100008310001183   
0601SGA1d       20090101000705100000005000 0100008420001190   
0601SGA1d       20090101000710100000005000 0100008520001196   
0601SGA1d       20090101000715100000005000 0100008620001201   
0601SGA1d       20090101000720100000005000 0100008720001207   
0601SGA1d       20090101000725100000005000 0100008820001212   
0601SGA1d       20090101000730100000005000 0100008940001220   
0601SGA1d       20090101000735100000005000 0100009040001226   
0601SGA1d       20090101000740100000005000 0100009140001231   
0601SGA1d       20090101000745100000005000 0100009240001236   
0601SGA1d       20090101000750100000005000 0100009360001244   
0601SGA1d       20090101000755100000005000 0100009460001249   
0601SGA1d       20090101000760100000005000 0100009560001254   
0601SGA1d       20090101000765100000005000 0100009660001259   
0601SGA1d       20090101000770100000005000 0100009760001263   
0601SGA1d       20090101000775100000005000 0100009880001271   
0601SGA1d       20090101000780100000005000 0100009980001275   
0601SGA1d       20090101000785100000005000 0100010090001281   
0601SGA1d       20090101000790100000005000 0100010200001287   
0601SGA1d       20090101000795100000005000 0100010330001295   
0601SGA1d       20090101000800100000005000 0100010440001301   
0601SGA1d       20090101000805100000005000 0100010560001308   
0601SGA1d       20090101000810100000005000 0100010680001314   
0601SGA1d       20090101000815100000005000 0100010800001321   
0601SGA1d       20090101000820100000005000 0100010940001330   
0601SGA1d       20090101000825100000005000 0100011060001337   
0601SGA1d       20090101000830100000005000 0100011190001344   
0601SGA1d       20090101000835100000005000 0100011310001350   
0601SGA1d       20090101000840100000005000 0100011450001359   
0601SGA1d       20090101000845100000005000 0100011580001366   
0601SGA1d       20090101000850100000005000 0100011700001372   
0601SGA1d       20090101000855100000005000 0100011830001380   
0601SGA1d       20090101000860100000005000 0100011950001386   
0601SGA1d       20090101000865100000005000 0100012100001395   
0601SGA1d       20090101000870100000005000 0100012230001402   
0601SGA1d       20090101000875100000005000 0100012350001407   
0601SGA1d       20090101000880100000005000 0100012480001414   
0601SGA1d       20090101000885100000005000 0100012620001422   
0601SGA1d       20090101000890100000005000 0100012750001429   
0601SGA1d       20090101000895100000005000 0100012870001434   
0601SGA1d       20090101000900100000005000 0100013000001440   
0601SGA1d       20090101000905100000005000 0100013120001446   
0601SGA1d       20090101000910100000005000 0100013270001454   
0601SGA1d       20090101000915100000005000 0100013390001459   
0601SGA1d       20090101000920100000005000 0100013520001466   
0601SGA1d       20090101000925100000005000 0100013640001471   
0601SGA1d       20090101000930100000005000 0100013790001479   
0601SGA1d       20090101000935100000005000 0100013910001484   
0601SGA1d       20090101000940100000005000 0100014040001490   
0601SGA1d       20090101000945100000005000 0100014160001494   
