00BE               20081114                                                                                   
0601BEA0d       20090101000890100000005000 0000014990001680   
0601BEA0d       20090101000895100000005000 0000015120001685   
0601BEA0d       20090101000900100000005000 0000015250001690   
0601BEA0d       20090101000905100000005000 0000015380001695   
0601BEA0d       20090101000910100000005000 0000015530001702   
0601BEA0d       20090101000915100000005000 0000015660001707   
0601BEA0d       20090101000920100000005000 0000015790001712   
0601BEA0d       20090101000925100000005000 0000015930001718   
0601BEA0d       20090101000930100000005000 0000016090001725   
0601BEA0d       20090101000935100000005000 0000016230001731   
0601BEA0d       20090101000940100000005000 0000016370001737   
0601BEA0d       20090101000945100000005000 0000016510001742   
0601BEA0d       20090101000950100000005000 0000016650001748   
0601BEA0d       20090101000955100000005000 0000016810001756   
0601BEA0d       20090101000960100000005000 0000016950001761   
0601BEA0d       20090101000965100000005000 0000017090001766   
0601BEA0d       20090101000970100000005000 0000017230001772   
0601BEA0d       20090101000975100000005000 0000017390001779   
0601BEA0d       20090101000980100000005000 0000017530001784   
0601BEA0d       20090101000985100000005000 0000017670001789   
0601BEA0d       20090101000990100000005000 0000017810001794   
0601BEA0d       20090101000995100000005000 0000017950001799   
0601BEA0d       20090101001000100000005000 0000018120001807   
0601BEA0d       20090101001005100000005000 0000018260001812   
0601BEA0d       20090101001010100000005000 0000018400001817   
0601BEA0d       20090101001015100000005000 0000018550001823   
0601BEA0d       20090101001020100000005000 0000018720001831   
0601BEA0d       20090101001025100000005000 0000018870001836   
0601BEA0d       20090101001030100000005000 0000019020001842   
0601BEA0d       20090101001035100000005000 0000019170001848   
0601BEA0d       20090101001040100000005000 0000019320001853   
0601BEA0d       20090101001045100000005000 0000019490001861   
0601BEA0d       20090101001050100000005000 0000019640001866   
0601BEA0d       20090101001055100000005000 0000019790001871   
0601BEA0d       20090101001060100000005000 0000019960001879   
0601BEA0d       20090101001065100000005000 0000020110001884   
0601BEA0d       20090101001070100000005000 0000020260001889   
0601BEA0d       20090101001075100000005000 0000020440001897   
0601BEA0d       20090101001080100000005000 0000020590001902   
0601BEA0d       20090101001085100000005000 0000020770001910   
0601BEA0d       20090101001090100000005000 0000020920001915   
0601BEA0d       20090101001095100000005000 0000021070001920   
0601BEA0d       20090101001100100000005000 0000021240001927   
0601BEA0d       20090101001105100000005000 0000021390001931   
0601BEA0d       20090101001110100000005000 0000021540001936   
0601BEA0d       20090101001115100000005000 0000021720001944   
0601BEA0d       20090101001120100000005000 0000021870001948   
0601BEA0d       20090101001125100000005000 0000022050001956   
0601BEA0d       20090101001130100000005000 0000022200001960   
0601BEA0d       20090101001135100000005000 0000022350001965   
0601BEA0d       20090101001140100000005000 0000022520001971   
0601BEA0d       20090101001145100000005000 0000022670001976   
0601BEA0d       20090101001150100000005000 0000022820001980   
0601BEA0d       20090101001155100000005000 0000023000001987   
0601BEA0d       20090101001160100000005000 0000023150001991   
0601BEA0d       20090101001165100000005000 0000023300001996   
0601BEA0d       20090101001170100000005000 0000023490002003   
0601BEA0d       20090101001175100000005000 0000023640002008   
0601BEA0d       20090101001180100000005000 0000023820002014   
0601BEA0d       20090101001185100000005000 0000023970002019   
0601BEA0d       20090101001190100000005000 0000024120002023   
0601BEA0d       20090101001195100000005000 0000024310002030   
0601BEA0d       20090101001200100000005000 0000024460002034   
0601BEA0d       20090101001205100000005000 0000024610002038   
0601BEA0d       20090101001210100000005000 0000024790002045   
0601BEA0d       20090101001215100000005000 0000024940002048   
0601BEA0d       20090101001220100000005000 0000025090002052   
0601BEA0d       20090101001225100000005000 0000025280002059   
0601BEA0d       20090101001230100000005000 0000025430002063   
0601BEA0d       20090101001235100000005000 0000025610002069   
0601BEA0d       20090101001240100000005000 0000025760002073   
0601BEA0d       20090101001245100000005000 0000025910002077   
0601BEA0d       20090101001250100000005000 0000026100002084   
0601BEA0d       20090101001255100000005000 0000026250002087   
0601BEA0d       20090101001260100000005000 0000026400002091   
0601BEA0d       20090101001265100000005000 0000026580002097   
0601BEA0d       20090101001270100000005000 0000026730002101   
0601BEA0d       20090101001275100000005000 0000026910002106   
0601BEA0d       20090101001280100000005000 0000027070002111   
0601BEA0d       20090101001285100000005000 0000027220002114   
0601BEA0d       20090101001290100000005000 0000027410002121   
0601BEA0d       20090101001295100000005000 0000027580002126   
0601BEA0d       20090101001300100000005000 0000027740002130   
0601BEA0d       20090101001305100000005000 0000027930002136   
0601BEA0d       20090101001310100000005000 0000028090002140   
0601BEA0d       20090101001315100000005000 0000028250002144   
0601BEA0d       20090101001320100000005000 0000028440002150   
0601BEA0d       20090101001325100000005000 0000028610002155   
0601BEA0d       20090101001330100000005000 0000028800002161   
0601BEA0d       20090101001335100000005000 0000028960002165   
0601BEA0d       20090101001340100000005000 0000029120002169   
