00SO               20071026                                                                                   
0601SOA0d       20080101001020100000005000 0000018060001766   
0601SOA0d       20080101001025100000005000 0000018200001771   
0601SOA0d       20080101001030100000005000 0000018350001777   
0601SOA0d       20080101001035100000005000 0000018490001782   
0601SOA0d       20080101001040100000005000 0000018640001788   
0601SOA0d       20080101001045100000005000 0000018780001793   
0601SOA0d       20080101001050100000005000 0000018930001799   
0601SOA0d       20080101001055100000005000 0000019070001803   
0601SOA0d       20080101001060100000005000 0000019230001810   
0601SOA0d       20080101001065100000005000 0000019380001815   
0601SOA0d       20080101001070100000005000 0000019530001821   
0601SOA0d       20080101001075100000005000 0000019690001827   
0601SOA0d       20080101001080100000005000 0000019840001833   
0601SOA0d       20080101001085100000005000 0000020000001839   
0601SOA0d       20080101001090100000005000 0000020150001844   
0601SOA0d       20080101001095100000005000 0000020300001850   
0601SOA0d       20080101001100100000005000 0000020460001856   
0601SOA0d       20080101001105100000005000 0000020610001861   
0601SOA0d       20080101001110100000005000 0000020760001866   
0601SOA0d       20080101001115100000005000 0000020920001872   
0601SOA0d       20080101001120100000005000 0000021070001877   
0601SOA0d       20080101001125100000005000 0000021220001882   
0601SOA0d       20080101001130100000005000 0000021380001888   
0601SOA0d       20080101001135100000005000 0000021530001893   
0601SOA0d       20080101001140100000005000 0000021680001898   
0601SOA0d       20080101001145100000005000 0000021840001903   
0601SOA0d       20080101001150100000005000 0000021990001908   
0601SOA0d       20080101001155100000005000 0000022140001913   
0601SOA0d       20080101001160100000005000 0000022290001917   
0601SOA0d       20080101001165100000005000 0000022450001923   
0601SOA0d       20080101001170100000005000 0000022600001928   
0601SOA0d       20080101001175100000005000 0000022750001932   
0601SOA0d       20080101001180100000005000 0000022910001937   
0601SOA0d       20080101001185100000005000 0000023060001942   
0601SOA0d       20080101001190100000005000 0000023210001946   
0601SOA0d       20080101001195100000005000 0000023370001952   
0601SOA0d       20080101001200100000005000 0000023520001956   
0601SOA0d       20080101001205100000005000 0000023670001960   
0601SOA0d       20080101001210100000005000 0000023830001965   
0601SOA0d       20080101001215100000005000 0000023980001970   
0601SOA0d       20080101001220100000005000 0000024130001974   
0601SOA0d       20080101001225100000005000 0000024290001979   
0601SOA0d       20080101001230100000005000 0000024440001983   
0601SOA0d       20080101001235100000005000 0000024600001988   
