00ZG               20081202                                                                                   
0601ZGA0d       20090101002475100000005000 0000042960001734   
0601ZGA0d       20090101002480100000005000 0000043070001735   
0601ZGA0d       20090101002485100000005000 0000043190001736   
0601ZGA0d       20090101002490100000005000 0000043300001737   
0601ZGA0d       20090101002495100000005000 0000043410001738   
0601ZGA0d       20090101002500100000005000 0000043530001739   
0601ZGA0d       20090101002505100000005000 0000043640001740   
0601ZGA0d       20090101002510100000005000 0000043750001741   
0601ZGA0d       20090101002515100000005000 0000043870001743   
0601ZGA0d       20090101002520100000005000 0000043980001744   
0601ZGA0d       20090101002525100000005000 0000044090001744   
0601ZGA0d       20090101002530100000005000 0000044210001746   
0601ZGA0d       20090101002535100000005000 0000044320001747   
0601ZGA0d       20090101002540100000005000 0000044430001747   
0601ZGA0d       20090101002545100000005000 0000044550001749   
0601ZGA0d       20090101002550100000005000 0000044660001750   
0601ZGA0d       20090101002555100000005000 0000044770001751   
0601ZGA0d       20090101002560100000005000 0000044890001752   
0601ZGA0d       20090101002565100000005000 0000045000001753   
0601ZGA0d       20090101002570100000005000 0000045110001754   
0601ZGA0d       20090101002575100000005000 0000045230001755   
